ID,SwiftName,Counterpart,RA,DEC,Redshift,Classification,nh
1,SWIFTJ0001.0-0708,2MASXJ00004876-0709117,0.2032,-7.1532,0.0377,Sy1.9,3.52e+20
2,SWIFTJ0001.6-7701,2MASXJ00014596-7657144,0.4420,-76.9540,0.0580,Sy1.5,5.76e+20
3,SWIFTJ0002.5+0323,NGC7811,0.6101,3.3519,0.0250,Sy1.2,3.01e+20
4,SWIFTJ0003.3+2737,2MASXJ00032742+2739173,0.8642,27.6547,0.0398,Sy2,5.15e+20
5,SWIFTJ0005.0+7021,2MASXJ00040192+7019185,1.0082,70.3218,0.0960,Sy2,4.92e+21
6,SWIFTJ0006.2+2012,Mrk335,1.5814,20.2030,0.0262,Sy1.2,4.09e+20
7,SWIFTJ0009.4-0037,SDSSJ000911.57-003654.7,2.2983,-0.6152,0.0734,Sy2,3.71e+20
10,SWIFTJ0021.2-1909,LEDA1348,5.2814,-19.1682,0.0959,Sy1.9,2.16e+20
13,SWIFTJ0025.8+6818,LEDA136991,6.3850,68.3624,0.0120,Sy2,6.24e+21
14,SWIFTJ0026.5-5308,LEDA433346,6.6695,-53.1633,0.0620,Sy1.5,1.85e+20
16,SWIFTJ0029.2+1319,PG0026+129,7.3071,13.2678,0.1452,Sy1,6.33e+20
17,SWIFTJ0030.0-5904,ESO112-6,7.6826,-59.0072,0.0289,Sy2,1.36e+20
18,SWIFTJ0033.6+6127,2MASXJ00331831+6127433,8.3264,61.4620,0.1040,Sy1.9,6.99e+21
19,SWIFTJ0034.5-7904,RHS3,8.5700,-79.0890,0.0741,Sy1.2,7.60e+20
20,SWIFTJ0034.6-0422,2MASXJ00343284-0424117,8.6366,-4.4034,0.2132,Sy2,3.97e+20
22,SWIFTJ0036.3+4540,Z535-12,9.0873,45.6649,0.0477,Sy1.2,8.14e+20
24,SWIFTJ0038.4+2337,Mrk344,9.6338,23.6134,0.0240,Sy2,3.24e+20
25,SWIFTJ0041.0+2444,SWIFT J004039.9+244539,10.1662,24.7609,0.0784,Sy1.8,3.90e+20
28,SWIFTJ0042.9-2332,NGC235A,10.7200,-23.5410,0.0220,Sy1.9,1.48e+20
29,SWIFTJ0042.9+3016A,2MASXJ00430184+3017195,10.7579,30.2888,0.0520,Sy1.9,5.78e+20
31,SWIFTJ0042.9-1135,MCG-2-2-95,10.7866,-11.6010,0.0189,Sy2,2.50e+20
32,SWIFTJ0046.2-4008,ESP39607,11.5862,-40.0970,0.2013,Sy2,3.56e+20
33,SWIFTJ0048.8+3155,Mrk348,12.1964,31.9570,0.0150,Sy2,7.26e+20
34,SWIFTJ0051.6+2928,UGC524,12.8959,29.4013,0.0360,Sy1.5,6.82e+20
36,SWIFTJ0051.9+1724,Mrk1148,12.9782,17.4329,0.0649,Sy1.2,5.01e+20
37,SWIFTJ0052.3-2730,2MASXJ00520383-2723488,13.0159,-27.3969,0.0768,Sy2,1.62e+20
39,SWIFTJ0054.9+2524,PG0052+251,13.7172,25.4275,0.1550,Sy1.5,5.12e+20
43,SWIFTJ0059.4+3150,Mrk352,14.9720,31.8270,0.0149,Sy1.2,6.40e+20
44,SWIFTJ0100.9-4750,2MASXJ01003490-4752033,15.1457,-47.8677,0.0480,Sy2,2.00e+20
45,SWIFTJ0101.5-0308,2MASXJ01012440-0308399,15.3516,-3.1445,0.0696,Sy1.5,3.63e+20
49,SWIFTJ0105.5-4213,MCG-7-3-7,16.3617,-42.2162,0.0300,Sy2,2.66e+20
50,SWIFTJ0106.2-4704,ESO243-26,16.4083,-47.0717,0.0193,Sy2,2.07e+20
51,SWIFTJ0105.7-1414,RBS149,16.4117,-14.2704,0.0664,Sy1.5,2.23e+20
