ID|SWIFT|CName|n_ID|RAJ2000|DEJ2000|Type|z|ztype|Dist|logMBH|Method|logLbol|logEdd
1|J0001.0-0708|2MASXJ00004876-0709117||0.2032337|-7.153222700|Sy1.9|0.03749562|OIII|165.2|7.61|Vdisp|44.45|-1.33
2|J0001.6-7701|2MASXJ00014596-7657144||0.4420348|-76.953963000|Sy1|0.05850513|OIII Broad|261.7|7.41|Hb|44.77|-0.82
3|J0002.5+0323|NGC7811||0.6101050|3.351911800|Sy1|0.02545663|OIII Broad|111.2|6.70|Hb|44.01|-0.86
4|J0003.3+2737|2MASXJ00032742+2739173||0.8642482|27.654725300|Sy2|0.03978371|OIII|175.6|7.89|Vdisp|44.52|-1.55
5|J0005.0+7021|2MASXJ00040192+7019185||1.0082414|70.321752200|Sy1.9|0.09568099|OIII|439.1|6.20|Ha obs|45.29|0.92
6|J0006.2+2012|Mrk335||1.5814004|20.202951200|Sy1|0.02590580|OIII Broad|113.2|7.23|Lit|44.24|-1.17
7|J0009.4-0037|SDSSJ000911.57-003654.7||2.2983352|-0.615221600|Sy2|0.07334542|OIII|331.5|8.54|Vdisp|45.05|-1.67
8|J0010.5+1057|Mrk1501||2.6291746|10.974861700|BZQ|0.08938542|OIII Broad|408.5|8.07|Lit|45.63|-0.61
9|J0017.1+8134|[HB89]0014+813||4.2854197|81.585596000|BZQ|3.37781731|CIV Broad|29310.9|9.87|CIV|48.90|0.85
10|J0021.2-1909|LEDA1348||5.2814076|-19.168191000|Sy1.9|0.09584636|OIII|439.9|8.94|Vdisp|45.41|-1.70
13|J0025.8+6818|LEDA136991||6.3850302|68.362439400|Sy2|0.01249191|OIII|54.0|7.68|Vdisp|43.94|-1.92
14|J0026.5-5308|LEDA433346||6.6694697|-53.163275000|Sy1|0.06321871|OIII Broad|283.7|7.78|Hb|44.99|-0.97
16|J0029.2+1319|PG0026+129||7.3070965|13.267761000|Sy1|0.14199695|OIII Broad|671.7|8.49|Lit|45.68|-0.98
17|J0030.0-5904|ESO112-6||7.6826262|-59.007215000|Sy2|0.02900386|OIII|127.0|7.90|Vdisp|44.44|-1.64
18|J0033.6+6127|2MASXJ00331831+6127433||8.3264422|61.462015300|Sy1.9|0.10418448|OIII|480.9|7.95|Ha|45.42|-0.71
