SWIFT|OName|RAJ2000|DEJ2000|BZ
J0001.0-0708|2MASXJ00004876-0709117|0.20320|-7.15320|
J0001.6-7701|2MASXJ00014596-7657144|0.44190|-76.95400|
J0002.5+0323|NGC7811|0.61030|3.35190|
J0003.3+2737|2MASXJ00032742+2739173|0.86430|27.65480|
J0005.0+7021|2MASXJ00040192+7019185|1.00820|70.32170|
J0006.2+2012|Mrk335|1.58130|20.20290|
J0009.4-0037|SDSSJ000911.57-003654.7|2.29820|-0.61520|
J0010.5+1057|Mrk1501|2.62920|10.97490|BZQ
J0017.1+8134|[HB89]0014+813|4.28530|81.58560|BZQ
J0021.2-1909|LEDA1348|5.28140|-19.16820|
J0025.8+6818|LEDA136991|6.38700|68.36230|
J0026.5-5308|LEDA433346|6.66950|-53.16330|
J0029.2+1319|PG0026+129|7.30670|13.26750|
J0030.0-5904|ESO112-6|7.68260|-59.00720|
J0033.6+6127|2MASXJ00331831+6127433|8.32660|61.46200|
J0034.5-7904|RHS3|8.56970|-79.08900|
J0034.6-0422|2MASXJ00343284-0424117|8.63680|-4.40330|
J0036.0+5951|QSOB0033+595|8.96940|59.83460|BZB
J0036.3+4540|Z535-12|9.08740|45.66500|
J0038.4+2337|Mrk344|9.63390|23.61330|
J0042.9-1135|MCG-2-2-95|10.78650|-11.60100|
J0042.9-2332|NGC235A|10.72000|-23.54100|
J0042.9+3016A|2MASXJ00430184+3017195|10.75780|30.28880|
J0042.9+3016B|2MASXJ00423991+3017515|10.66630|30.29760|
J0046.2-4008|ESP39607|11.58600|-40.09700|
J0048.8+3155|Mrk348|12.19640|31.95700|BZB
J0051.6+2928|UGC524|12.89590|29.40130|
J0051.9+1724|Mrk1148|12.97830|17.43290|
J0052.3-2730|2MASXJ00520383-2723488|13.01580|-27.39690|
J0054.9+2524|PG0052+251|13.71710|25.42720|
J0057.0+6405|NVSSJ005712+635942|14.30360|63.99520|BZU
J0059.4+3150|Mrk352|14.97200|31.82690|
J0100.9-4750|2MASXJ01003490-4752033|15.14570|-47.86760|
J0101.5-0308|2MASXJ01012440-0308399|15.35170|-3.14450|
J0103.8-6437|PKS0101-649|15.89040|-64.65210|BZQ
J0105.5-4213|MCG-7-3-7|16.36170|-42.21620|
J0105.6-3433|HE0103-3447|16.44420|-34.52920|
J0105.7-1414|RBS149|16.41170|-14.27040|
J0106.2-4704|ESO243-26|16.40820|-47.07170|
J0106.8+0639|UM85|16.68860|6.63390|
J0107.7-1137B|2MASXJ01073963-1139117|16.91520|-11.65320|
J0109.0+1320|3C33|17.22030|13.33720|
J0111.4-3808|NGC424|17.86500|-38.08300|
J0113.8-1450|Mrk1152|18.45870|-14.84560|
J0113.8+1313|Mrk975|18.46260|13.27170|
J0113.8+2515|WISEJ011322.69+251853.2|18.34460|25.31480|
J0114.4-5522|NGC454E|18.60380|-55.39710|
J0114.5-3236|IC1657|18.52920|-32.65090|
J0116.3+3104|NGC452|19.06180|31.03380|
J0116.5-1235|2MASXJ01163118-1236171|19.12980|-12.60470|
J0122.0-2818|Q0119-286|20.46460|-28.34920|
J0122.8+5003|MCG+8-3-18|20.64350|50.05500|
J0122.9+3420|SHBLJ012308.7+342049|20.78600|34.34690|BZB
J0123.8-3504|NGC526A|20.97660|-35.06540|
J0123.9-5846|Fairall9|20.94080|-58.80570|
J0124.5+3350|NGC513|21.11190|33.79950|
J0126.0+3511|1RXSJ012556.6+351039|21.48320|35.17610|
J0126.2+1517|RHS10|21.49190|15.30380|
J0127.5+1910|Mrk359|21.88560|19.17880|
J0128.0-1850|MCG-3-4-72|22.02800|-18.80860|
J0128.4+1631|Z459-58|22.10170|16.45930|
J0128.9-6039|2MASXJ01290761-6038423|22.28180|-60.64500|
J0130.0-4218|ESO244-30|22.46360|-42.32650|
J0130.2-4552|2MASXJ01302127-4601448|22.58870|-46.02920|
J0131.8-3307|ESO353-9|22.96010|-33.11930|
J0134.1-3625|NGC612|23.49060|-36.49330|
J0134.8-0430|LEDA1057320|23.69020|-4.50360|
J0136.5+3906|B30133+388|24.13540|39.09990|BZB
J0138.6-4001|ESO297-18|24.65480|-40.01140|
J0138.8+2925|LEDA138434|24.85000|29.40190|
J0140.6-5321|2MASXJ01402676-5319389|25.11160|-53.32760|
J0142.0+3922|B20138+39B|25.49060|39.39140|BZU
J0149.2+2153A|LEDA1656658|27.24870|21.75930|
J0149.2+2153B|NGC678|27.35360|21.99730|
J0149.9-5019|CSRG165|27.34280|-50.25210|
J0151.3-3610|ESO354-4|27.92450|-36.18780|
J0152.8-0329|MCG-1-5-47|28.20420|-3.44680|
J0154.9-2707|2MASSiJ0154403-270701|28.66790|-27.11690|
J0155.4+0228|RBS255|28.85380|2.47120|
J0157.2+4715|LEDA2295246|29.29560|47.26660|
J0200.3+2428|UGC1479|30.07940|24.47370|
J0201.0-0648|NGC788|30.27690|-6.81550|
J0202.4+6824A|LEDA89913|30.57200|68.36200|
J0202.4+6824B|LEDA137972|30.38500|68.40610|
J0203.1-2359|RBS273|30.75370|-24.03670|
J0206.2-0019|Mrk1018|31.56660|-0.29140|
J0207.0+2931|LEDA8076|31.75920|29.51280|
J0208.2+4452|UGC1609|31.96490|44.84380|
J0208.5-1738|2MASSJ02083494-1739347|32.14550|-17.65940|
J0209.5-1010D1|NGC833|32.33680|-10.13310|
J0209.5-1010D2|NGC835|32.35250|-10.13590|
J0209.7+5226|LEDA138501|32.40580|52.44430|
J0211.1-4944|Fairall377|32.71890|-49.69850|
J0213.7+5147|2MASXJ02141794+5144520|33.57470|51.74780|BZB
J0214.6-0049|Mrk590|33.64000|-0.76700|
J0214.9-6432|RBS295|33.65570|-64.50140|
J0215.6-1301|3C62|33.90620|-12.99180|
J0216.3+5128|SWIFTJ0216.3+5128|34.11130|51.42370|
J0218.0+7348|[HB89]0212+735|34.37840|73.82570|BZQ
J0222.3+2509|2MASXJ02223523+2508143|35.64680|25.13740|
J0222.6+5222|1RXSJ022206.0+522112|35.52580|52.35230|
J0223.4+4551|2MASXJ02233309+4549162|35.88790|45.82120|
J0225.0-2312|LEDA2823078|36.26120|-23.21330|
J0225.0+1847|RBS0315|36.26950|18.78020|BZQ
J0225.8-6315|Fairall296|36.28760|-63.22400|
J0226.4-2821|AM0224-283|36.60700|-28.34970|
J0227.0+2346|MCG+4-6-43|36.72750|23.79970|
J0228.1+3118|Mrk1040|37.06030|31.31170|
J0230.2-0900|Mrk1044|37.52270|-8.99790|
J0231.6-3645|IC1816|37.96250|-36.67210|
J0232.8+2020|QSOB0229+200|38.20260|20.28820|BZB
J0234.1+3233|NGC973|38.58380|32.50560|
J0234.6-0848|NGC985|38.65740|-8.78760|
J0235.3-2934|ESO416-2|38.80610|-29.60470|
J0238.2-5213|ESO198-24|39.58210|-52.19230|
J0238.5-6119|2MASXJ02384313-6117227|39.67960|-61.28960|
J0238.8-4039|LEDA74091|39.70400|-40.64390|
J0241.3-0816|NGC1052|40.27000|-8.25580|BZU
J0241.6+0711|Mrk595|40.39540|7.18720|
J0242.0+0516|IRAS02394+0457|40.51580|5.16840|
J0242.2+0531|RHS15|40.56100|5.51000|
J0242.6+0000|NGC1068|40.66960|-0.01330|
J0243.9+5324|LEDA2442097|41.01250|53.47450|
J0244.7-2433|ESO479-31|41.19890|-24.51390|
J0244.8+6227|Q0241+622|41.24040|62.46850|
J0245.2+1047|4C+10.08|41.30610|10.78970|BZQ
J0249.1+2627|LEDA89928|42.24720|26.51090|
J0250.4+4648|2MASXJ02502722+4647295|42.61330|46.79150|
J0250.7+4142|NGC1106|42.66880|41.67150|
J0251.3+5441|LEDA166445|42.67750|54.70490|
J0251.6-1639|NGC1125|42.91800|-16.65100|
