SwiftName,xtable
SWIFTJ0001.0m0708,null
SWIFTJ0001.6m7701,null
SWIFTJ0002.5p0323,null
SWIFTJ0003.3p2737,null
SWIFTJ0005.0p7021,null
SWIFTJ0006.2p2012,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX005200/r14448128/enhanced/SPITZER_S5_14448128_01_merge.tbl
SWIFTJ0009.4m0037,null
SWIFTJ0010.5p1057,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006000/r14188544/enhanced/SPITZER_S5_14188544_01_merge.tbl
SWIFTJ0017.1p8134,null
SWIFTJ0021.2m1909,null
SWIFTJ0025.8p6818,null
SWIFTJ0026.5m5308,null
SWIFTJ0029.2p1319,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX007300/r10449408/enhanced/SPITZER_S5_10449408_01_merge.tbl
SWIFTJ0030.0m5904,null
SWIFTJ0033.6p6127,null
SWIFTJ0034.5m7904,null
SWIFTJ0034.6m0422,null
SWIFTJ0036.0p5951,null
SWIFTJ0036.3p4540,null
SWIFTJ0038.4p2337,null
SWIFTJ0041.0p2444,null
SWIFTJ0042.9m2332,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX007700/r20342016/enhanced/SPITZER_S5_20342016_02_merge.tbl
SWIFTJ0042.9p3016A,null
SWIFTJ0042.9p3016B,null
SWIFTJ0042.9m1135,null
SWIFTJ0046.2m4008,null
SWIFTJ0048.8p3155,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008400/r17957376/enhanced/SPITZER_S5_17957376_01_merge.tbl
SWIFTJ0051.6p2928,null
SWIFTJ0051.9p1724,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r14189056/enhanced/SPITZER_S5_14189056_01_merge.tbl
SWIFTJ0052.3m2730,null
SWIFTJ0054.9p2524,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r4675072/enhanced/SPITZER_S5_4675072_01_merge.tbl
SWIFTJ0057.0p6405,null
SWIFTJ0059.4p3150,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26482944/enhanced/SPITZER_S5_26482944_01_merge.tbl
SWIFTJ0100.9m4750,null
SWIFTJ0101.5m0308,null
SWIFTJ0103.8m6437,null
SWIFTJ0105.5m4213,null
SWIFTJ0106.2m4704,null
SWIFTJ0105.7m1414,null
SWIFTJ0105.6m3433,null
SWIFTJ0106.8p0639,null
SWIFTJ0107.7m1137B,null
SWIFTJ0109.0p1320,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX004300/r11295744/enhanced/SPITZER_S5_11295744_01_merge.tbl
SWIFTJ0111.4m3808,null
SWIFTJ0113.8p2515,null
SWIFTJ0113.8p1313,null
SWIFTJ0113.8m1450,null
SWIFTJ0114.5m3236,null
SWIFTJ0114.4m5522,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX011400/r26482432/enhanced/SPITZER_S5_26482432_01_merge.tbl
SWIFTJ0116.3p3104,null
SWIFTJ0116.5m1235,null
SWIFTJ0122.0m2818,null
SWIFTJ0122.8p5003,null
SWIFTJ0122.9p3420,null
SWIFTJ0123.8m3504,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18525184/enhanced/SPITZER_S5_18525184_01_merge.tbl
SWIFTJ0123.9m5846,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002500/r4848128/enhanced/SPITZER_S5_4848128_01_merge.tbl
SWIFTJ0124.5p3350,null
SWIFTJ0126.0p3511,null
SWIFTJ0126.2p1517,null
SWIFTJ0127.5p1910,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r14448384/enhanced/SPITZER_S5_14448384_01_merge.tbl
SWIFTJ0128.0m1850,null
SWIFTJ0128.4p1631,null
SWIFTJ0128.9m6039,null
SWIFTJ0130.0m4218,null
SWIFTJ0130.2m4552,null
SWIFTJ0131.8m3307,null
SWIFTJ0134.1m3625,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18945280/enhanced/SPITZER_S5_18945280_01_merge.tbl
SWIFTJ0134.8m0430,null
SWIFTJ0136.5p3906,null
SWIFTJ0138.6m4001,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18944768/enhanced/SPITZER_S5_18944768_01_merge.tbl
SWIFTJ0138.8p2925,null
SWIFTJ0140.6m5321,null
SWIFTJ0142.0p3922,null
SWIFTJ0149.2p2153A,null
