SWIFT|logNH|b_logNH|B_logNH|Model|f_Model
J0001.0-0708|22.19|22.11|22.26|B1|
J0001.6-7701|20.00|20.00|20.00|A3|
J0002.5+0323|20.00|20.00|20.00|A1|
J0003.3+2737|22.86|22.78|22.98|B1|
J0005.0+7021|22.61|22.56|22.68|B1|G
J0006.2+2012|20.48|20.26|20.51|A6|G
J0009.4-0037|23.61|23.36|24.04|B1|G
J0010.5+1057|21.04|21.00|21.11|A2|G
J0017.1+8134|21.95|21.85|22.04|C6|
J0021.2-1909|21.98|21.92|22.08|B1|
J0025.8+6818|23.98|23.86|24.16|B1|G
J0026.5-5308|20.00|20.00|20.00|A1|
J0029.2+1319|20.00|20.00|20.00|A1|
J0030.0-5904|24.36|24.11|24.72|B1|G
J0033.6+6127|22.00|21.74|22.11|A1|
J0034.5-7904|20.00|20.00|20.00|A2|
J0034.6-0422|23.45|23.30|23.62|B1|
J0036.0+5951|21.41|21.36|21.48|C6|
J0036.3+4540|20.00|20.00|20.00|A2|G
J0038.4+2337|23.04|22.90|23.17|B1|
J0042.9+3016A|22.30|22.11|22.36|B1|
J0042.9+3016B|21.41|21.38|21.70|A2|G
J0042.9-1135|22.91|22.77|23.15|B1|
J0042.9-2332|23.50|23.43|23.57|B2|
J0046.2-4008|23.45|23.41|23.50|B2|G
J0048.8+3155|23.12|23.10|23.15|B3|G
J0051.6+2928|20.00|20.00|20.00|A1|
J0051.9+1724|20.30|20.11|20.64|A2|
J0052.3-2730|22.81|22.60|22.98|B1|
J0054.9+2524|20.00|20.00|20.00|A2|G
J0057.0+6405|22.37|22.29|22.45|C5|
J0059.4+3150|20.00|20.00|20.00|A2|G
J0100.9-4750|22.57|22.53|22.60|B1|G
J0101.5-0308|20.00|20.00|20.00|A1|
J0103.8-6437|20.00|20.00|20.00|C1|
J0105.5-4213|24.17|23.79|24.26|B2|G
J0105.6-3433|22.22|22.07|22.36|B1|
J0105.7-1414|20.00|20.00|20.00|A2|
J0106.2-4704|22.98|22.86|23.05|B1|
J0106.8+0639|23.81|23.56|24.03|B1|G
J0107.7-1137B|23.58|23.40|23.86|B1|
J0109.0+1320|23.76|23.66|23.86|B1|G
J0111.4-3808|24.25|24.16|24.29|B2|G
J0113.8+1313|23.03|22.98|23.09|B2|G
J0113.8+2515|21.48|21.38|21.89|B1|
J0113.8-1450|20.00|20.00|20.00|A5|G
J0114.4-5522|23.30|23.27|23.34|B1|G
J0114.5-3236|23.40|23.31|23.53|B1|
J0116.3+3104|22.46|22.28|22.76|B1|
J0116.5-1235|21.80|21.58|21.96|B1|
J0122.0-2818|20.00|20.00|20.00|A2|
J0122.8+5003|24.12|23.43|24.35|B1|G
J0122.9+3420|20.52|20.32|20.65|C6|
J0123.8-3504|22.01|21.99|22.01|B2|G
J0123.9-5846|20.00|20.00|20.00|A2|
J0124.5+3350|22.78|22.73|22.83|B2|G
J0126.0+3511|22.41|22.25|22.56|B1|
J0126.2+1517|21.46|21.36|21.64|A2|
