Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 0.20323, -7.15322 | 0.036 | 0.037    | 3.15e+20 | 3.13e+20 | 3.87e+19 | 3.97e+19 | 3.54e+20 | 3.52e+20 |
J 0.44203, -76.95396| 0.053 | 0.055    | 4.65e+20 | 4.81e+20 | 8.77e+19 | 9.47e+19 | 5.53e+20 | 5.76e+20 |
J 0.61011, 3.35191  | 0.023 | 0.023    | 2.81e+20 | 2.81e+20 | 2.09e+19 | 2.04e+19 | 3.01e+20 | 3.01e+20 |
J 0.86425, 27.65473 | 0.052 | 0.055    | 4.25e+20 | 4.30e+20 | 7.88e+19 | 8.50e+19 | 5.03e+20 | 5.15e+20 |
J 1.00824, 70.32175 | 0.970 | 1.033    | 3.34e+21 | 3.48e+21 | 1.44e+21 | 1.44e+21 | 4.78e+21 | 4.92e+21 |
J 1.58140, 20.20295 | 0.044 | 0.042    | 3.57e+20 | 3.56e+20 | 5.47e+19 | 5.23e+19 | 4.11e+20 | 4.09e+20 |
J 2.29834, -0.61522 | 0.042 | 0.041    | 3.26e+20 | 3.25e+20 | 4.66e+19 | 4.61e+19 | 3.73e+20 | 3.71e+20 |
J 2.62917, 10.97486 | 0.089 | 0.088    | 5.33e+20 | 5.39e+20 | 1.73e+20 | 1.74e+20 | 7.06e+20 | 7.13e+20 |
J 4.28542, 81.58560 | 0.213 | 0.210    | 1.36e+21 | 1.35e+21 | 8.52e+20 | 8.40e+20 | 2.22e+21 | 2.19e+21 |
J 5.28141, -19.16819| 0.025 | 0.023    | 2.12e+20 | 2.01e+20 | 1.69e+19 | 1.46e+19 | 2.29e+20 | 2.16e+20 |
J 6.38503, 68.36244 | 1.221 | 1.182    | 4.88e+21 | 4.80e+21 | 1.44e+21 | 1.44e+21 | 6.32e+21 | 6.24e+21 |
J 6.66947, -53.16327| 0.016 | 0.017    | 1.72e+20 | 1.77e+20 | 8.28e+18 | 8.87e+18 | 1.80e+20 | 1.85e+20 |
J 7.30710, 13.26776 | 0.081 | 0.083    | 4.77e+20 | 4.86e+20 | 1.41e+20 | 1.48e+20 | 6.18e+20 | 6.33e+20 |
J 7.68263, -59.00722| 0.013 | 0.013    | 1.31e+20 | 1.31e+20 | 4.65e+18 | 4.87e+18 | 1.36e+20 | 1.36e+20 |
J 8.32644, 61.46202 | 1.049 | 1.072    | 5.38e+21 | 5.55e+21 | 1.44e+21 | 1.44e+21 | 6.82e+21 | 6.99e+21 |
J 8.57004, -79.08896| 0.073 | 0.075    | 6.00e+20 | 5.97e+20 | 1.60e+20 | 1.63e+20 | 7.60e+20 | 7.60e+20 |
J 8.63662, -4.40342 | 0.044 | 0.043    | 3.55e+20 | 3.45e+20 | 5.48e+19 | 5.14e+19 | 4.10e+20 | 3.97e+20 |
J 8.96931, 59.83454 | 0.817 | 0.810    | 4.18e+21 | 4.13e+21 | 1.44e+21 | 1.44e+21 | 5.62e+21 | 5.57e+21 |
J 9.08726, 45.66490 | 0.081 | 0.078    | 6.81e+20 | 6.33e+20 | 2.01e+20 | 1.80e+20 | 8.82e+20 | 8.14e+20 |
J 9.63381, 23.61341 | 0.031 | 0.030    | 2.96e+20 | 2.95e+20 | 3.10e+19 | 2.91e+19 | 3.27e+20 | 3.24e+20 |
J 10.16618, 24.76094| 0.037 | 0.036    | 3.58e+20 | 3.47e+20 | 4.55e+19 | 4.30e+19 | 4.03e+20 | 3.90e+20 |
J 10.72004, -23.54105| 0.017 | 0.018    | 1.42e+20 | 1.41e+20 | 7.27e+18 | 7.44e+18 | 1.49e+20 | 1.48e+20 |
J 10.75785, 30.28878| 0.054 | 0.054    | 4.82e+20 | 4.85e+20 | 9.38e+19 | 9.33e+19 | 5.76e+20 | 5.78e+20 |
J 10.66629, 30.29762| 0.054 | 0.053    | 4.82e+20 | 4.86e+20 | 9.38e+19 | 9.29e+19 | 5.76e+20 | 5.79e+20 |
J 10.78658, -11.60104| 0.027 | 0.027    | 2.31e+20 | 2.30e+20 | 1.98e+19 | 1.97e+19 | 2.50e+20 | 2.50e+20 |
J 11.58620, -40.09704| 0.011 | 0.011    | 3.44e+20 | 3.45e+20 | 1.21e+19 | 1.18e+19 | 3.56e+20 | 3.56e+20 |
J 12.19642, 31.95697| 0.072 | 0.070    | 5.80e+20 | 5.79e+20 | 1.52e+20 | 1.47e+20 | 7.31e+20 | 7.26e+20 |
J 12.89591, 29.40129| 0.059 | 0.058    | 5.61e+20 | 5.64e+20 | 1.21e+20 | 1.18e+20 | 6.82e+20 | 6.82e+20 |
J 12.97818, 17.43292| 0.065 | 0.060    | 4.03e+20 | 4.12e+20 | 9.42e+19 | 8.91e+19 | 4.98e+20 | 5.01e+20 |
J 13.01585, -27.39692| 0.015 | 0.015    | 1.56e+20 | 1.55e+20 | 7.08e+18 | 7.00e+18 | 1.63e+20 | 1.62e+20 |
J 13.71717, 25.42751| 0.048 | 0.046    | 4.48e+20 | 4.40e+20 | 7.56e+19 | 7.22e+19 | 5.24e+20 | 5.12e+20 |
J 14.30351, 63.99525| 1.534 | 1.479    | 8.67e+21 | 8.59e+21 | 1.44e+21 | 1.44e+21 | 1.01e+22 | 1.00e+22 |
J 14.97200, 31.82702| 0.062 | 0.063    | 5.21e+20 | 5.21e+20 | 1.17e+20 | 1.19e+20 | 6.38e+20 | 6.40e+20 |
J 15.14568, -47.86772| 0.012 | 0.012    | 2.28e+20 | 1.93e+20 | 8.34e+18 | 6.89e+18 | 2.36e+20 | 2.00e+20 |
J 15.35162, -3.14448| 0.034 | 0.033    | 3.35e+20 | 3.26e+20 | 3.89e+19 | 3.68e+19 | 3.74e+20 | 3.63e+20 |
J 15.89049, -64.65212| 0.021 | 0.022    | 2.28e+20 | 2.31e+20 | 1.51e+19 | 1.59e+19 | 2.43e+20 | 2.47e+20 |
J 16.36173, -42.21622| 0.010 | 0.010    | 2.50e+20 | 2.58e+20 | 7.75e+18 | 8.01e+18 | 2.58e+20 | 2.66e+20 |
J 16.40834, -47.07169| 0.012 | 0.012    | 2.07e+20 | 2.00e+20 | 7.27e+18 | 7.09e+18 | 2.14e+20 | 2.07e+20 |
J 16.41166, -14.27044| 0.023 | 0.022    | 2.06e+20 | 2.08e+20 | 1.48e+19 | 1.46e+19 | 2.21e+20 | 2.23e+20 |
J 16.44458, -34.52897| 0.019 | 0.019    | 1.82e+20 | 1.79e+20 | 1.06e+19 | 1.03e+19 | 1.93e+20 | 1.90e+20 |
J 16.68860, 6.63385 | 0.033 | 0.033    | 2.91e+20 | 2.91e+20 | 3.22e+19 | 3.17e+19 | 3.24e+20 | 3.23e+20 |
J 16.91518, -11.65312| 0.027 | 0.027    | 2.60e+20 | 2.48e+20 | 2.30e+19 | 2.13e+19 | 2.83e+20 | 2.69e+20 |
J 17.22031, 13.33732| 0.038 | 0.035    | 3.38e+20 | 3.23e+20 | 4.35e+19 | 3.79e+19 | 3.82e+20 | 3.60e+20 |
