ID,SwiftName,Counterpart,RA,DEC,Redshift,nh
1,SWIFTJ0001.0-0708,2MASXJ00004876-0709117,0.2032337,-7.1532227,0.03749562,3.52e+20
2,SWIFTJ0001.6-7701,2MASXJ00014596-7657144,0.4420348,-76.953963,0.05850513,5.76e+20
3,SWIFTJ0002.5+0323,NGC7811,0.610105,3.3519118,0.02545663,3.01e+20
4,SWIFTJ0003.3+2737,2MASXJ00032742+2739173,0.8642482,27.6547253,0.03978371,5.15e+20
5,SWIFTJ0005.0+7021,2MASXJ00040192+7019185,1.0082414,70.3217522,0.09568099,4.92e+21
6,SWIFTJ0006.2+2012,Mrk335,1.5814004,20.2029512,0.0259058,4.09e+20
7,SWIFTJ0009.4-0037,SDSSJ000911.57-003654.7,2.2983352,-0.6152216,0.07334542,3.71e+20
8,SWIFTJ0010.5+1057,Mrk1501,2.6291746,10.9748617,0.08938542,7.13e+20
9,SWIFTJ0017.1+8134,[HB89]0014+813,4.2854197,81.585596,3.37781731,2.19e+21
10,SWIFTJ0021.2-1909,LEDA1348,5.2814076,-19.168191,0.09584636,2.16e+20
13,SWIFTJ0025.8+6818,LEDA136991,6.3850302,68.3624394,0.01249191,6.24e+21
14,SWIFTJ0026.5-5308,LEDA433346,6.6694697,-53.163275,0.06321871,1.85e+20
16,SWIFTJ0029.2+1319,PG0026+129,7.3070965,13.267761,0.14199695,6.33e+20
17,SWIFTJ0030.0-5904,ESO112-6,7.6826262,-59.007215,0.02900386,1.36e+20
18,SWIFTJ0033.6+6127,2MASXJ00331831+6127433,8.3264422,61.4620153,0.10418448,6.99e+21
19,SWIFTJ0034.5-7904,RHS3,8.5700402,-79.088963,0.07426779,7.6e+20
20,SWIFTJ0034.6-0422,2MASXJ00343284-0424117,8.636619,-4.4034229,0.2129818,3.97e+20
21,SWIFTJ0036.0+5951,QSOB0033+595,8.9693118,59.8345373,0.0861447,5.57e+21
22,SWIFTJ0036.3+4540,Z535-12,9.0872635,45.6648997,0.04760781,8.14e+20
24,SWIFTJ0038.4+2337,Mrk344,9.6338116,23.6134076,0.02524603,3.24e+20
