Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status     |name                                  |ra         |dec        |time               |detector|grating|exposure|type|pi              |public_date|_Search_Offset             |
|23301|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-08 14:24:29|ACIS-S  |HETG   |   63380|TOO |Canizares       | 2020-07-13|  0.001 (SWIFTJ0006.2+2012)|
|23292|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-06-30 16:26:55|ACIS-S  |HETG   |   30080|DDT |Boissay-Malaquin| 2020-07-01|  0.001 (SWIFTJ0006.2+2012)|
|23297|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-01 09:07:30|ACIS-S  |HETG   |   30080|DDT |Boissay-Malaquin| 2020-07-02|  0.001 (SWIFTJ0006.2+2012)|
|23299|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-03 08:11:14|ACIS-S  |HETG   |   30080|DDT |Boissay-Malaquin| 2020-07-05|  0.001 (SWIFTJ0006.2+2012)|
|23298|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-02 01:58:14|ACIS-S  |HETG   |   30080|DDT |Boissay-Malaquin| 2020-07-05|  0.001 (SWIFTJ0006.2+2012)|
|23300|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-04 02:00:11|ACIS-S  |HETG   |   30080|DDT |Boissay-Malaquin| 2020-07-05|  0.001 (SWIFTJ0006.2+2012)|
|23302|archived   |Mrk 335                               |00 06 19.54|+20 12 10.6|2020-07-04 20:21:58|ACIS-S  |HETG   |   20080|TOO |Canizares       | 2020-07-06|  0.001 (SWIFTJ0006.2+2012)|
|23709|archived   |KUG0003+199                           |00 06 19.52|+20 12 10.5|2020-09-29 12:13:18|ACIS-S  |NONE   |    2070|GO  |Foord           | 2021-09-29|  0.004 (SWIFTJ0006.2+2012)|
|26135|archived   |PG0026+129                            |00 29 13.70|+13 16 03.9|2021-10-01 14:08:56|ACIS-S  |NONE   |    9360|CCT |Koss            | 2021-10-01|  0.001 (SWIFTJ0029.2+1319)|
| 7466|archived   |1RXS J003357.9+612645                 |00 33 57.90|+61 26 45.0|2006-12-13 00:21:13|HRC-I   |NONE   |    1140|TOO |Mendez          | 2007-12-14|  4.823 (SWIFTJ0033.6+6127)|
|26341|archived   |Z535-12                               |00 36 20.94|+45 39 53.6|2022-03-05 10:41:47|ACIS-S  |NONE   |   10090|CCT |Koss            | 2022-03-07|  0.001 (SWIFTJ0036.3+4540)|
|15066|archived   |NGC 0232                              |00 42 46.50|-23 33 31.0|2013-01-04 22:16:25|ACIS-S  |NONE   |   14970|GO  |Sanders         | 2013-01-07|  1.790 (SWIFTJ0042.9-2332)|
|12872|archived   |NGC 235A                              |00 42 52.80|-23 32 24.0|2011-01-17 10:35:32|ACIS-S  |NONE   |    6960|GO  |Mushotzky       | 2012-01-18|  0.062 (SWIFTJ0042.9-2332)|
| 2152|archived   |2MASX J00505570+2933281               |00 50 55.70|+29 33 28.1|2001-01-25 21:14:09|ACIS-I  |NONE   |    3640|GO  |Wilkes          | 2002-01-30| 12.705 (SWIFTJ0051.6+2928)|
|13899|archived   |Mrk 975                               |01 13 51.00|+13 16 18.2|2012-10-28 12:06:05|ACIS-S  |NONE   |   11070|GO  |Mushotzky       | 2013-11-05|  0.010 (SWIFTJ0113.8+1313)|
|15575|archived   |Mrk 975                               |01 13 51.00|+13 16 18.2|2012-11-02 20:40:37|ACIS-S  |NONE   |   10070|GO  |Mushotzky       | 2013-11-05|  0.010 (SWIFTJ0113.8+1313)|
| 4437|archived   |NGC 526A                              |01 23 54.40|-35 03 55.7|2003-06-21 22:22:53|ACIS-S  |HETG   |   29440|GO  |George          | 2004-07-09|  0.005 (SWIFTJ0123.8-3504)|
| 4376|archived   |NGC 526A                              |01 23 54.40|-35 03 55.7|2003-06-21 02:14:46|ACIS-S  |HETG   |   29050|GO  |George          | 2004-07-09|  0.005 (SWIFTJ0123.8-3504)|
|  342|archived   |NGC 526A                              |01 23 54.32|-35 03 56.2|2000-02-07 22:58:23|ACIS-S  |NONE   |    8720|GTO |Wilson          | 2001-02-28|  0.014 (SWIFTJ0123.8-3504)|
|  442|archived   |NGC 526A                              |01 23 54.32|-35 03 56.2|2000-04-23 06:36:04|ACIS-S  |NONE   |    4980|DDT |Wilson          | 2001-04-28|  0.014 (SWIFTJ0123.8-3504)|
|  341|archived   |NGC 526A                              |01 23 54.32|-35 03 56.2|1999-11-30 15:47:45|ACIS-S  |NONE   |     840|GTO |Wilson          | 2001-02-02|  0.014 (SWIFTJ0123.8-3504)|
| 2088|archived   |FAIRALL 9                             |01 23 46.10|-58 48 23.1|2001-09-11 23:29:16|ACIS-S  |HETG   |   79940|GO  |Yaqoob          | 2002-09-20|  0.058 (SWIFTJ0123.9-5846)|
|18142|archived   |2MASX J01392400+2924067               |01 39 24.00|+29 24 07.0|2015-11-25 12:14:32|ACIS-S  |NONE   |   25070|GO  |Koss            | 2016-11-30|  0.004 (SWIFTJ0138.8+2925)|
|26736|unobserved |Mrk 1018                              |02 06 15.99|-00 17 29.2|         2023-10-31|ACIS-S  |HETG   |  100000|GO  |Tremblay        |           |  0.000 (SWIFTJ0206.2-0019)|
|26737|unobserved |Mrk 1018                              |02 06 15.99|-00 17 29.2|         2024-06-17|ACIS-S  |HETG   |  100000|GO  |Tremblay        |           |  0.000 (SWIFTJ0206.2-0019)|
|26764|untriggered|Mrk 1018                              |02 06 15.99|-00 17 29.2|                   |ACIS-S  |NONE   |   70000|TOO |Brogan          |           |  0.000 (SWIFTJ0206.2-0019)|
|27370|unobserved |Mrk 1018                              |02 06 15.99|-00 17 29.2|         2024-02-20|ACIS-S  |HETG   |   55000|GTO |Kraft           |           |  0.000 (SWIFTJ0206.2-0019)|
|19560|archived   |Mrk 1018                              |02 06 16.00|-00 17 29.0|2017-02-17 01:28:43|ACIS-S  |NONE   |   51060|TOO |Krumpe          | 2018-02-21|  0.005 (SWIFTJ0206.2-0019)|
|21433|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2019-10-09 04:43:12|ACIS-S  |NONE   |   45070|GO  |Krumpe          | 2020-10-11|  0.005 (SWIFTJ0206.2-0019)|
|18789|archived   |Mrk 1018                              |02 06 16.00|-00 17 29.0|2016-02-25 02:12:28|ACIS-S  |NONE   |   29980|DDT |Tremblay        | 2016-05-25|  0.005 (SWIFTJ0206.2-0019)|
|21432|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2019-02-06 07:48:28|ACIS-S  |NONE   |   25070|GO  |Krumpe          | 2020-02-07|  0.005 (SWIFTJ0206.2-0019)|
|12868|archived   |Mrk 1018                              |02 06 16.10|-00 17 27.6|2010-11-27 11:05:58|ACIS-S  |NONE   |   25010|GO  |Mushotzky       | 2011-12-03|  0.038 (SWIFTJ0206.2-0019)|
|20369|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2018-09-09 21:35:38|ACIS-S  |NONE   |   21070|GO  |Krumpe          | 2019-09-13|  0.005 (SWIFTJ0206.2-0019)|
|22082|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2019-02-07 09:54:33|ACIS-S  |NONE   |   20070|GO  |Krumpe          | 2020-02-07|  0.005 (SWIFTJ0206.2-0019)|
|20370|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2018-11-08 11:16:22|ACIS-S  |NONE   |   20070|GO  |Krumpe          | 2019-11-09|  0.005 (SWIFTJ0206.2-0019)|
|20368|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2018-06-12 02:56:48|ACIS-S  |NONE   |   20070|GO  |Krumpe          | 2019-06-13|  0.005 (SWIFTJ0206.2-0019)|
|20366|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2018-01-08 08:01:15|ACIS-S  |NONE   |   20070|GO  |Krumpe          | 2019-01-09|  0.005 (SWIFTJ0206.2-0019)|
|20367|archived   |Mrk1018                               |02 06 16.00|-00 17 29.0|2018-03-03 01:49:22|ACIS-S  |NONE   |   19070|GO  |Krumpe          | 2019-03-03|  0.005 (SWIFTJ0206.2-0019)|
|22167|archived   |LEDA138501                            |02 09 37.41|+52 26 39.7|2019-04-05 23:49:07|ACIS-S  |NONE   |   10060|CCT |Koss            | 2019-04-06|  0.000 (SWIFTJ0209.7+5226)|
| 4924|archived   |Mrk 590                               |02 14 33.60|-00 46 00.1|2004-07-03 21:58:28|ACIS-S  |HETG   |   96790|GO  |Santos Lleo     | 2005-07-12|  0.010 (SWIFTJ0214.6-0049)|
|16109|archived   |Mrk590                                |02 14 33.60|-00 46 00.3|2014-11-15 11:53:17|ACIS-S  |HETG   |   70050|GO  |Mathur          | 2015-11-19|  0.010 (SWIFTJ0214.6-0049)|
|15647|archived   |Mrk 590                               |02 14 33.60|-00 46 00.1|2013-06-16 07:12:09|ACIS-S  |HETG   |   30550|DDT |Mathur          | 2013-06-17|  0.010 (SWIFTJ0214.6-0049)|
|18638|archived   |LEDA 1725117                          |02 22 32.00|+25 04 40.0|2016-12-11 13:29:23|ACIS-S  |NONE   |    9940|GTO |Predehl         | 2017-12-21|  3.653 (SWIFTJ0222.3+2509)|
|16571|archived   |Markarian 1040                        |02 28 14.50|+31 18 42.0|2014-03-03 12:26:42|ACIS-S  |HETG   |   91030|GO  |Lobban          | 2015-03-05|  0.011 (SWIFTJ0228.1+3118)|
|16584|archived   |Markarian 1040                        |02 28 14.50|+31 18 42.0|2014-02-26 01:07:35|ACIS-S  |HETG   |   61030|GO  |Lobban          | 2015-03-05|  0.011 (SWIFTJ0228.1+3118)|
|15075|archived   |Markarian 1040                        |02 28 14.50|+31 18 42.0|2014-02-25 04:00:17|ACIS-S  |HETG   |   29030|GO  |Lobban          | 2015-03-05|  0.011 (SWIFTJ0228.1+3118)|
|15076|archived   |Markarian 1040                        |02 28 14.50|+31 18 42.0|2013-10-19 09:24:53|ACIS-S  |HETG   |   20040|GO  |Lobban          | 2015-03-05|  0.011 (SWIFTJ0228.1+3118)|
|12870|archived   |NGC 931                               |02 28 14.40|+31 18 39.6|2010-12-03 21:53:56|ACIS-S  |NONE   |    5030|GO  |Mushotzky       | 2011-12-05|  0.034 (SWIFTJ0228.1+3118)|
| 3964|archived   |MRK 1044                              |02 30 05.50|-08 59 52.4|2003-06-24 06:45:40|HRC-S   |LETG   |   98920|GO  |Mathur          | 2004-07-16|  0.014 (SWIFTJ0230.2-0900)|
|18684|archived   |Mrk 1044                              |02 30 05.50|-08 59 53.2|2015-10-14 12:00:00|ACIS-S  |NONE   |   44070|GO  |Tremblay        | 2016-10-19|  0.005 (SWIFTJ0230.2-0900)|
|18188|archived   |Mrk 1044                              |02 30 05.50|-08 59 53.2|2015-10-12 10:06:13|ACIS-S  |NONE   |   41090|GO  |Tremblay        | 2016-10-19|  0.005 (SWIFTJ0230.2-0900)|
|18685|archived   |Mrk 1044                              |02 30 05.50|-08 59 53.2|2015-10-16 18:19:33|ACIS-S  |NONE   |   14070|GO  |Tremblay        | 2016-10-19|  0.005 (SWIFTJ0230.2-0900)|
|11440|archived   |SDSS J022849.51-090153.7              |02 28 49.50|-09 01 53.7|2009-09-20 15:01:19|ACIS-S  |NONE   |    2010|GO  |Ho              | 2010-09-21| 18.878 (SWIFTJ0230.2-0900)|
| 3010|archived   |NGC 985                               |02 34 37.80|-08 47 15.0|2002-06-24 19:32:41|ACIS-S  |HETG   |   77720|GO  |Nicastro        | 2003-07-01|  0.039 (SWIFTJ0234.6-0848)|
|12866|archived   |NGC 985                               |02 34 37.70|-08 47 16.8|2010-10-06 05:31:15|ACIS-S  |NONE   |   25010|GO  |Mushotzky       | 2011-10-07|  0.045 (SWIFTJ0234.6-0848)|
| 4817|archived   |ESO198-G24                            |02 38 19.60|-52 11 34.0|2004-04-07 21:22:39|ACIS-S  |HETG   |   80330|GO  |Bianchi         | 2005-04-16|  0.033 (SWIFTJ0238.2-5213)|
| 5315|archived   |ESO198-G24                            |02 38 19.60|-52 11 34.0|2004-04-05 07:32:13|ACIS-S  |HETG   |   71500|GO  |Bianchi         | 2005-04-16|  0.033 (SWIFTJ0238.2-5213)|
| 9392|archived   |ACO 3038                              |02 37 59.60|-52 24 47.0|2008-02-28 18:32:18|ACIS-I  |NONE   |   14130|GO  |Vikhlinin       | 2009-02-28| 13.597 (SWIFTJ0238.2-5213)|
|27473|archived   |RHS15                                 |02 42 14.64|+05 30 36.0|2022-10-15 23:27:49|ACIS-S  |NONE   |   10100|CCT |Koss            | 2022-10-17|  0.000 (SWIFTJ0242.2+0531)|
| 2297|archived   |4U 0241+61                            |02 44 57.80|+62 28 10.5|2001-04-06 23:15:12|ACIS-S  |LETG   |   36930|GO  |Arabadjis       | 2002-04-12|  0.067 (SWIFTJ0244.8+6227)|
|11683|archived   |MCG-02-08-038                         |02 59 56.00|-10 46 41.0|2010-06-16 23:44:07|ACIS-I  |NONE   |   10050|GO  |Virani          | 2011-06-18|  3.461 (SWIFTJ0300.0-1048)|
|23725|archived   |MCG-02.08.038                         |03 00 04.31|-10 49 28.6|2020-11-29 12:24:05|ACIS-S  |NONE   |    2070|GO  |Foord           | 2021-11-30|  0.002 (SWIFTJ0300.0-1048)|
|14236|archived   |NGC 1232                              |03 10 27.30|-20 35 37.2|2012-06-13 11:02:50|ACIS-S  |NONE   |   49480|GTO |Garmire         | 2013-06-14| 16.101 (SWIFTJ0311.5-2045)|
|12198|archived   |NGC 1232                              |03 10 12.60|-20 36 30.5|2010-11-30 09:12:01|ACIS-S  |NONE   |   47090|GTO |Garmire         | 2011-12-01| 18.322 (SWIFTJ0311.5-2045)|
| 3313|archived   |AX J0335.2-1505                       |03 35 16.70|-15 05 55.0|2002-02-19 18:32:35|ACIS-S  |NONE   |    5070|GO  |Nandra          | 2003-02-22| 14.787 (SWIFTJ0334.4-1515)|
|27564|archived   |2MASXJ03352254+1907282                |03 35 22.57|+19 07 28.9|2022-11-23 19:15:49|ACIS-S  |NONE   |   10600|CCT |Koss            | 2022-11-25|  0.002 (SWIFTJ0335.4+1907)|
|26144|archived   |ESO548-81                             |03 42 03.71|-21 14 39.5|2021-09-20 23:40:11|ACIS-S  |NONE   |    9880|CCT |Koss            | 2021-09-22|  0.001 (SWIFTJ0342.0-2115)|
|18189|archived   |HE 0351+0240                          |03 54 09.50|+02 49 31.0|2015-12-14 07:37:16|ACIS-S  |NONE   |   55090|GO  |Tremblay        | 2016-12-16|  0.010 (SWIFTJ0354.2+0250)|
|18726|archived   |HE 0351+0240                          |03 54 09.50|+02 49 31.0|2015-12-15 11:57:30|ACIS-S  |NONE   |   45090|GO  |Tremblay        | 2016-12-16|  0.010 (SWIFTJ0354.2+0250)|
| 4005|archived   |3C109                                 |04 13 40.40|+11 12 15.3|2003-03-23 01:52:32|ACIS-S  |NONE   |   50400|GO  |Hardcastle      | 2004-05-28|  0.017 (SWIFTJ0413.8+1112)|
|17120|archived   |IRAS04124-0803                        |04 14 52.00|-07 55 39.0|2015-09-27 00:34:57|ACIS-S  |NONE   |   10100|GO  |Mushotzky       | 2016-10-02|  0.163 (SWIFTJ0414.8-0754)|
|13644|archived   |40 Eri C                              |04 15 21.70|-07 39 17.3|2012-03-04 07:48:46|ACIS-S  |NONE   |    5060|GO  |Guinan          | 2013-03-05| 17.884 (SWIFTJ0414.8-0754)|
