Results from heasarc_numaster: NuSTAR Master Catalog
Coordinate system:  Equatorial
|name                   |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|obs_type|processing_date    |public_date|issue_flag|_Search_Offset                |
|Fairall1203            |00 01 35.4|-76 55 49|2015-04-11 13:11:07|60160002002|archived |     34128|SCIENCE         |EGS     |2020-10-13 07:36:29| 2015-04-13|         0|1.537 (2MASXJ00014596-7657144)|
|Fairall1203            |00 01 34.7|-76 56 37|2015-04-11 12:46:07|60160002001|archived |        93|SCIENCE         |EGS     |2020-10-13 07:48:36| 2015-04-13|         0|0.895 (2MASXJ00014596-7657144)|
|Fairall1203            |00 01 35.4|-76 55 49|2015-04-11 13:11:07|60160002002|archived |     34128|SCIENCE         |EGS     |2020-10-13 07:36:29| 2015-04-13|         0|     1.537 (SWIFTJ0001.6-7701)|
|Fairall1203            |00 01 34.7|-76 56 37|2015-04-11 12:46:07|60160002001|archived |        93|SCIENCE         |EGS     |2020-10-13 07:48:36| 2015-04-13|         0|     0.895 (SWIFTJ0001.6-7701)|
|NGC7811                |00 02 20.5|+03 18 29|2022-12-13 10:01:09|60160003002|archived |     23114|SCIENCE         |EGS     |2022-12-14 08:10:39| 2022-12-19|         0|     3.017 (SWIFTJ0002.5+0323)|
|Mkn335                 |00 06 25.7|+20 13 31|2013-06-25 08:06:07|60001041005|archived |     93022|SCIENCE         |AGN     |2020-11-10 10:10:38| 2014-02-06|         0|     1.969 (SWIFTJ0006.2+2012)|
|Mkn_335                |00 06 20.7|+20 14 37|2018-07-10 17:31:09|80201001002|archived |     82257|SCIENCE         |X15     |2020-08-11 23:30:47| 2019-10-21|         0|     2.461 (SWIFTJ0006.2+2012)|
|Mkn335                 |00 06 13.8|+20 12 59|2014-09-20 00:31:07|80001020002|archived |     68905|SCIENCE         |TOO     |2020-10-18 09:36:14| 2015-03-25|         0|     1.561 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.9|+20 14 52|2021-06-14 03:51:09|60502006002|archived |     51417|SCIENCE         |X18     |2021-06-16 02:39:49| 2022-07-09|         0|     2.966 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 26.7|+20 14 32|2021-06-20 06:21:09|60502006008|archived |     49408|SCIENCE         |X18     |2021-06-22 14:00:12| 2022-07-09|         0|     2.890 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.2|+20 14 29|2021-06-16 05:46:09|60502006004|archived |     47513|SCIENCE         |X18     |2021-06-19 16:57:01| 2022-07-09|         0|     2.552 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 25.9|+20 14 24|2021-06-18 06:01:09|60502006006|archived |     47321|SCIENCE         |X18     |2021-06-20 02:05:59| 2022-07-09|         0|     2.675 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 21.5|+20 14 11|2020-06-30 16:01:09|80502636002|archived |     46464|SCIENCE         |N05     |2020-07-02 02:41:17| 2021-01-10|         0|     2.059 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 21.8|+20 14 24|2020-07-03 06:51:09|80502636006|archived |     45824|SCIENCE         |N05     |2020-07-05 02:52:24| 2021-01-10|         0|     2.291 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 27.6|+20 15 22|2021-06-22 05:06:09|60502006010|archived |     43129|SCIENCE         |X18     |2021-06-24 20:10:39| 2022-07-09|         1|     3.697 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.3|+20 14 27|2020-06-07 23:41:09|90602619006|archived |     30495|SCIENCE         |TOO     |2020-06-10 14:56:05| 2020-06-19|         0|     2.533 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.1|+20 14 27|2020-06-06 23:31:09|90602619004|archived |     30156|SCIENCE         |TOO     |2020-06-10 17:17:04| 2020-06-19|         0|     2.513 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 22.5|+20 14 13|2020-07-02 01:46:09|80502636004|archived |     22528|SCIENCE         |N05     |2020-07-03 01:56:20| 2021-01-10|         0|     2.150 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.4|+20 14 38|2020-06-08 23:51:09|90602619008|archived |     22452|SCIENCE         |TOO     |2020-06-10 05:12:39| 2020-06-19|         0|     2.715 (SWIFTJ0006.2+2012)|
|Mkn335                 |00 06 24.6|+20 13 03|2013-06-13 21:16:07|60001041003|archived |     21523|SCIENCE         |AGN     |2020-11-10 16:13:00| 2014-02-06|         0|     1.461 (SWIFTJ0006.2+2012)|
|Mkn335                 |00 06 23.3|+20 12 42|2013-06-13 08:31:07|60001041002|archived |     21295|SCIENCE         |AGN     |2020-11-10 16:27:13| 2014-02-06|         0|     1.023 (SWIFTJ0006.2+2012)|
|Mrk_335                |00 06 24.6|+20 14 46|2020-06-06 10:41:09|90602619002|archived |     13107|SCIENCE         |TOO     |2020-06-10 19:09:56| 2020-06-19|         0|     2.856 (SWIFTJ0006.2+2012)|
|2MASXJ00210753m1910056 |00 21 07.5|-19 10 05|                   |60160010   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0021.2-1909)|
|2MASXJ00264073m5309479 |00 26 40.7|-53 09 48|                   |60160012   |accepted |    -20000|                |EGS     |                   |           |          |     0.005 (SWIFTJ0026.5-5308)|
|PG0026p129             |00 29 08.6|+13 13 53|2021-01-03 03:16:09|60663003002|archived |    147374|SCIENCE         |N06     |2021-01-07 01:36:31| 2022-01-11|         0|     2.500 (SWIFTJ0029.2+1319)|
|2MASXJ00331831p6127433 |00 33 18.4|+61 27 43|                   |60160014   |accepted |    -20000|                |EGS     |                   |           |          |     0.004 (SWIFTJ0033.6+6127)|
|2MASXJ00341665m7905204 |00 33 45.0|-79 04 00|2016-03-28 19:01:08|60160015002|archived |     22665|SCIENCE         |EGS     |2020-10-02 04:41:18| 2016-04-01|         0|     2.010 (SWIFTJ0034.5-7904)|
|2MASXJ00341665m7905204 |00 33 53.0|-79 03 49|2016-03-28 18:21:08|60160015001|archived |       340|SCIENCE         |EGS     |2020-10-02 04:52:28| 2016-04-01|         0|     1.894 (SWIFTJ0034.5-7904)|
|CGCG535m012            |00 36 21.0|+45 39 54|                   |60160018   |accepted |    -20000|                |EGS     |                   |           |          |     0.008 (SWIFTJ0036.3+4540)|
|NGC235A                |00 42 52.8|-23 32 27|                   |60061004   |accepted |    -20000|                |EGS     |                   |           |          |     0.008 (SWIFTJ0042.9-2332)|
|MCGp05m03m013          |00 51 29.2|+29 21 50|2020-12-22 14:11:09|60160027002|archived |     21562|SCIENCE         |EGS     |2020-12-24 06:19:27| 2021-01-11|         0|     2.579 (SWIFTJ0051.6+2928)|
