Results from heasarc_suzamaster: Suzaku Master Catalog
Coordinate system:  Equatorial
|name                |ra         |dec        |time               |obsid    |exposure    |processing_date    |public_date|_Search_Offset            |
|MKN 335             |00 06 18.31|+20 12 32.8|2013-06-14 23:30:11|708016020|154816.80000|2016-08-11 15:48:59| 2013-04-01| 0.468 (SWIFTJ0006.2+2012)|
|MARKARIAN 335       |00 06 12.94|+20 15 44.6|2006-06-21 01:29:56|701031010|151288.40000|2016-05-26 20:00:58| 2007-10-28| 3.889 (SWIFTJ0006.2+2012)|
|MKN 335             |00 06 18.41|+20 12 30.6|2013-06-11 03:35:16|708016010|143995.00000|2016-08-11 14:46:35| 2013-04-01| 0.426 (SWIFTJ0006.2+2012)|
|NGC 235A            |00 42 52.22|-23 32 16.1|2013-12-10 02:12:44|708026010| 19825.10000|2016-08-13 13:13:43| 2013-04-01| 0.236 (SWIFTJ0042.9-2332)|
|MKN 1148            |00 51 55.32|+17 25 23.2|2013-12-30 06:51:12|708033010| 28318.90000|2016-08-13 17:10:22| 2013-04-01| 0.604 (SWIFTJ0051.9+1724)|
|MRK 352             |00 59 59.78|+31 45 27.0|2010-01-06 11:19:27|704025010| 45671.70000|2016-06-11 02:17:35| 2011-02-10| 4.394 (SWIFTJ0059.4+3150)|
|NGC 526A            |01 23 55.06|-35 04 22.4|2011-01-17 18:13:23|705044010| 72934.60000|2016-07-31 16:45:10| 2012-02-04| 0.467 (SWIFTJ0123.8-3504)|
|FAIRALL 9           |01 23 23.52|-58 46 42.2|2010-05-19 03:00:49|705063010|229296.30000|2016-06-12 23:41:52| 2010-04-01| 3.317 (SWIFTJ0123.9-5846)|
|FAIRALL 9           |01 23 47.54|-58 48 50.8|2007-06-07 03:43:52|702043010|167798.30000|2016-05-30 22:10:20| 2008-11-03| 0.550 (SWIFTJ0123.9-5846)|
|MRK 0359            |01 27 33.43|+19 10 32.5|2007-02-06 23:29:43|701082010|107507.00000|2016-05-29 08:51:21| 2008-09-26| 0.286 (SWIFTJ0127.5+1910)|
|MRK1018             |02 06 11.30|-00 14 06.4|2009-07-03 00:17:32|704044010| 43901.40000|2016-06-08 18:27:17| 2010-07-18| 3.578 (SWIFTJ0206.2-0019)|
|MKN 590             |02 14 34.70|-00 46 11.3|2011-01-23 02:15:01|705043010| 61554.70000|2016-07-31 17:34:48| 2012-02-08| 0.340 (SWIFTJ0214.6-0049)|
|MKN 590             |02 14 35.45|-00 46 16.7|2011-01-26 02:16:45|705043020| 40913.90000|2016-07-31 18:44:45| 2012-03-02| 0.546 (SWIFTJ0214.6-0049)|
|MARKARIAN 1040      |02 28 13.44|+31 18 59.8|2013-08-11 21:59:52|707046010|137435.30000|2016-08-12 07:32:15| 2014-10-25| 0.376 (SWIFTJ0228.1+3118)|
|NGC985              |02 34 30.70|-08 44 16.8|2009-07-15 14:49:11|704042010| 31996.90000|2016-06-08 20:26:17| 2010-07-29| 3.489 (SWIFTJ0234.6-0848)|
|ESO 548-G081        |03 41 58.25|-21 11 41.6|2009-08-03 08:02:28|704026010| 39411.20000|2016-06-09 01:16:32| 2010-08-19| 3.228 (SWIFTJ0342.0-2115)|
|3C 111              |04 18 17.78|+38 05 20.0|2008-08-22 09:56:26|703034010|122378.00000|2016-06-04 09:38:38| 2009-09-10| 3.800 (SWIFTJ0418.3+3800)|
|3C111               |04 18 20.11|+38 02 11.0|2010-09-02 03:49:24|705040010| 80683.00000|2016-06-14 07:10:03| 2011-09-18| 0.631 (SWIFTJ0418.3+3800)|
|3C111               |04 18 20.11|+38 01 58.4|2010-09-14 23:02:22|705040030| 80365.90000|2016-06-14 11:14:47| 2011-10-01| 0.442 (SWIFTJ0418.3+3800)|
|3C111               |04 18 20.11|+38 02 02.8|2010-09-09 00:38:43|705040020| 79419.80000|2016-06-14 09:27:44| 2011-09-23| 0.505 (SWIFTJ0418.3+3800)|
|1H0419-577          |04 26 02.78|-57 12 39.6|2007-07-25 05:33:59|702041010|205862.80000|2016-05-31 09:30:48| 2008-08-28| 0.690 (SWIFTJ0426.2-5711)|
|1H 0419-577         |04 26 15.79|-57 14 03.5|2010-01-16 11:36:08|704064010|122835.40000|2016-06-11 05:35:18| 2011-02-02| 2.877 (SWIFTJ0426.2-5711)|
|LEDA 168563         |04 52 03.79|+49 33 02.2|2013-09-01 21:03:24|708017010|100011.00000|2016-08-12 12:43:26| 2013-04-01| 0.331 (SWIFTJ0452.2+4933)|
|SWIFT J0501.9-3239  |05 19 29.83|-32 42 14.8|2008-04-11 15:48:08|703014010| 41298.50000|2016-06-03 07:27:27| 2009-05-02| 3.052 (SWIFTJ0501.9-3239)|
|IRAS 05078+1626     |05 10 45.86|+16 29 31.9|2013-02-28 15:07:27|707029010| 46016.70000|2016-08-10 17:16:30| 2014-04-02| 0.445 (SWIFTJ0510.7+1629)|
|ARK 120             |05 16 10.54|-00 12 23.0|2007-04-01 18:07:26|702014010|100863.50000|2016-05-30 02:17:34| 2008-10-05| 3.405 (SWIFTJ0516.2-0009)|
|MCG-02-14-009       |05 16 15.77|-10 30 38.2|2008-08-28 22:35:03|703060010|142152.20000|2016-06-04 12:26:21| 2009-09-26| 3.335 (SWIFTJ0516.4-1034)|
|MCG+8-11-11         |05 54 53.59|+46 30 14.0|2007-09-17 01:46:02|702112010| 98748.10000|2016-06-01 00:53:00| 2008-10-12| 3.874 (SWIFTJ0554.8+4625)|
|PKS 0558-504        |05 59 44.02|-50 26 24.7|2007-01-19 18:23:18|701011030| 21256.30000|2016-05-28 21:14:06| 2008-09-26| 0.704 (SWIFTJ0559.8-5028)|
|PKS 0558-504        |05 59 44.11|-50 26 30.1|2007-01-17 11:14:49|701011010| 20620.70000|2016-05-28 20:28:00| 2008-09-26| 0.637 (SWIFTJ0559.8-5028)|
|PKS 0558-504        |05 59 43.78|-50 26 24.4|2007-01-20 20:09:44|701011040| 19738.10000|2016-05-28 21:23:02| 2008-09-26| 0.738 (SWIFTJ0559.8-5028)|
|PKS 0558-504        |05 59 44.04|-50 26 22.2|2007-01-21 21:49:08|701011050| 19515.40000|2016-05-28 21:33:35| 2008-09-26| 0.729 (SWIFTJ0559.8-5028)|
|PKS 0558-504        |05 59 44.11|-50 26 27.2|2007-01-18 16:47:43|701011020| 18875.30000|2016-05-28 20:58:32| 2008-09-26| 0.666 (SWIFTJ0559.8-5028)|
|MKN 6               |06 52 16.44|+74 24 46.8|2015-04-21 14:07:12|710001010| 50654.10000|2016-08-18 00:45:43| 2016-06-09| 0.883 (SWIFTJ0651.9+7426)|
|MARKARIAN 79        |07 42 32.57|+49 48 05.4|2007-04-03 21:55:26|702044010| 83703.80000|2016-05-30 02:08:48| 2008-08-17| 0.491 (SWIFTJ0742.5+4948)|
|FG03                |07 52 43.68|+45 57 25.9|2012-10-28 18:39:14|807052010| 14318.50000|2016-08-07 20:50:06| 2014-02-08| 0.484 (SWIFTJ0753.1+4559)|
|PBC J0839.7-1214    |08 39 45.41|-12 18 10.4|2010-05-08 16:32:34|705007010| 80564.30000|2016-06-12 11:19:56| 2011-05-26| 3.817 (SWIFTJ0839.6-1213)|
|IGR J09026-4812     |09 02 35.23|-48 13 56.3|2013-11-26 07:41:17|708031010| 37792.40000|2016-08-13 10:18:04| 2013-04-01| 0.510 (SWIFTJ0902.7-4814)|
|SWIFT J0904.3+5538  |09 04 28.08|+55 34 29.6|2009-04-28 02:12:31|704027010| 41943.80000|2016-06-07 10:37:08| 2010-05-27| 1.994 (SWIFTJ0904.3+5538)|
|MCG +04-22-042      |09 23 47.06|+22 58 09.5|2009-11-22 07:56:32|704028010| 40962.00000|2016-06-10 12:26:59| 2010-12-12| 3.734 (SWIFTJ0923.7+2255)|
|MRK 110             |09 25 21.19|+52 20 58.9|2007-11-02 08:15:48|702124010| 90871.20000|2016-06-01 10:36:32| 2008-11-16| 4.017 (SWIFTJ0925.0+5218)|
|3C 227              |09 47 44.76|+07 25 28.2|2012-11-06 01:54:26|707004010| 82532.50000|2016-08-08 00:05:14| 2013-12-05| 0.158 (SWIFTJ0947.7+0726)|
|M81                 |09 55 25.42|+68 59 42.4|2006-05-08 00:07:30|701022010|103518.60000|2016-05-26 07:08:13| 2007-10-24| 4.269 (SWIFTJ0955.5+6907)|
|M81                 |09 55 31.90|+69 03 11.9|2015-05-18 11:19:51|710017010| 97702.20000|2016-08-18 17:18:19| 2016-06-04| 0.729 (SWIFTJ0955.5+6907)|
|M81                 |09 55 40.06|+69 04 27.5|2011-09-15 11:07:59|906004010| 45675.90000|2016-08-03 03:52:38| 2011-04-01| 0.818 (SWIFTJ0955.5+6907)|
|NGC 3431            |10 51 14.74|-17 00 54.0|2012-06-11 13:35:08|707012010| 65675.60000|2016-08-05 16:34:56| 2013-06-30|8.535 (SWIFTJ1051.2-1704B)|
|UGC 6728            |11 44 52.73|+79 36 38.2|2009-06-06 13:33:08|704029010| 49003.90000|2016-06-08 11:59:49| 2010-06-17| 4.380 (SWIFTJ1143.7+7942)|
|SWIFT J1200.8+0650  |12 00 52.44|+06 44 55.7|2008-05-31 21:39:59|703009010| 84486.60000|2016-06-03 18:02:56| 2009-06-21| 3.716 (SWIFTJ1200.8+0650)|
|ARK 347             |12 04 22.85|+20 14 51.4|2010-06-30 23:54:36|705002010| 38972.60000|2016-06-13 10:33:52| 2011-07-30| 4.421 (SWIFTJ1204.5+2019)|
|MRK 205             |12 20 59.02|+75 14 54.6|2010-05-22 18:21:23|705062010|100960.50000|2016-06-12 15:12:11| 2011-06-11| 4.700 (SWIFTJ1222.4+7520)|
|IGR J12391-1612     |12 39 13.68|-16 07 45.1|2008-12-18 21:43:23|703007010|130274.00000|2016-06-06 01:31:26| 2010-01-10| 3.517 (SWIFTJ1239.3-1611)|
|ESO 323-G032        |12 53 23.98|-41 34 59.5|2007-12-22 14:03:20|702119010| 79249.40000|2016-06-01 22:57:48| 2009-01-23| 3.219 (SWIFTJ1253.5-4137)|
|ESO 323-G077        |13 06 25.75|-40 25 25.0|2011-07-20 15:32:10|706033010| 44122.20000|2016-08-02 14:51:07| 2012-10-12|0.544 (SWIFTJ1306.4-4025A)|
|MCG-03-34-64        |13 22 23.90|-16 43 37.2|2013-01-04 21:12:35|707027010|155712.70000|2016-08-08 12:42:10| 2012-04-01| 0.159 (SWIFTJ1322.2-1641)|
|SWIFT J1322.2-1641  |13 22 19.66|-16 47 08.9|2009-07-01 23:22:19|704022010| 41348.70000|2016-06-08 17:51:57| 2010-07-16| 3.627 (SWIFTJ1322.2-1641)|
|MCG-6-30-15         |13 35 52.94|-34 17 40.6|2006-01-09 23:22:19|700007010|143196.50000|2016-05-24 18:15:02| 2007-05-27| 0.181 (SWIFTJ1335.8-3416)|
|MCG-6-30-15         |13 35 53.21|-34 17 51.4|2006-01-23 12:09:04|700007020| 98483.40000|2016-05-24 20:14:03| 2007-05-27| 0.167 (SWIFTJ1335.8-3416)|
|MCG-6-30-15         |13 35 53.11|-34 17 52.1|2006-01-27 22:16:43|700007030| 96691.90000|2016-05-24 20:28:18| 2007-05-27| 0.189 (SWIFTJ1335.8-3416)|
|MCG-6-30-15         |13 35 55.08|-34 17 30.8|2005-08-17 16:09:53|100004010| 46698.70000|2016-05-12 17:35:00| 2007-05-27| 0.350 (SWIFTJ1335.8-3416)|
|NGC 5252            |13 38 15.91|+04 32 53.2|2012-12-26 21:06:27|707028010| 50270.10000|2016-08-08 09:01:29| 2014-01-30| 0.327 (SWIFTJ1338.2+0433)|
|4U 1344-60          |13 47 35.18|-60 37 08.4|2011-01-11 19:01:05|705058010| 93877.30000|2016-07-31 16:14:43| 2012-02-18| 0.126 (SWIFTJ1347.4-6033)|
|IC 4329A            |13 49 19.94|-30 18 34.6|2012-08-13 02:13:09|707025010|117593.80000|2016-08-06 21:29:33| 2013-09-05| 0.148 (SWIFTJ1349.3-3018)|
|IC4329A             |13 49 19.90|-30 18 35.6|2007-08-06 00:41:45|702113020| 30623.30000|2016-05-31 10:25:26| 2008-09-21| 0.139 (SWIFTJ1349.3-3018)|
|IC4329A             |13 49 19.66|-30 18 41.8|2007-08-11 11:00:23|702113030| 26895.90000|2016-05-31 11:04:42| 2008-09-21| 0.152 (SWIFTJ1349.3-3018)|
|IC4329A             |13 49 19.66|-30 18 38.5|2007-08-01 05:28:20|702113010| 25453.40000|2016-05-31 09:02:38| 2008-09-01| 0.112 (SWIFTJ1349.3-3018)|
|IC4329A             |13 49 19.61|-30 18 30.2|2007-08-16 11:48:47|702113040| 24219.40000|2016-05-31 14:30:32| 2008-09-21| 0.100 (SWIFTJ1349.3-3018)|
|IC4329A             |13 49 19.70|-30 18 35.3|2007-08-20 23:26:16|702113050| 24026.20000|2016-05-31 15:00:18| 2008-09-21| 0.097 (SWIFTJ1349.3-3018)|
|CIRCINUS GALAXY     |14 13 11.30|-65 20 01.0|2006-07-21 12:29:57|701036010|108021.70000|2016-05-27 01:19:17| 2007-10-28| 0.356 (SWIFTJ1412.9-6522)|
|NGC5548             |14 17 59.50|+25 07 35.0|2007-08-05 00:37:46|702042080| 38775.70000|2016-05-31 10:02:56| 2008-09-05| 0.626 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 58.34|+25 07 30.7|2007-06-24 21:53:31|702042020| 35915.20000|2016-05-31 01:00:44| 2008-08-17| 0.749 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 59.26|+25 07 35.8|2007-07-29 04:20:44|702042070| 31809.90000|2016-05-31 08:30:51| 2008-08-28| 0.617 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 58.34|+25 07 42.2|2007-06-18 22:28:15|702042010| 31118.80000|2016-05-30 23:31:44| 2008-08-17| 0.574 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 58.39|+25 07 42.6|2007-07-08 10:02:55|702042040| 30699.60000|2016-05-31 03:11:34| 2008-08-17| 0.564 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 59.02|+25 07 39.7|2007-07-15 13:57:39|702042050| 30019.70000|2016-05-31 06:35:47| 2008-08-29| 0.561 (SWIFTJ1417.9+2507)|
|NGC5548             |14 17 58.92|+25 07 37.9|2007-07-22 10:40:25|702042060| 28917.80000|2016-05-31 06:59:24| 2008-08-28| 0.595 (SWIFTJ1417.9+2507)|
|WKK 4438            |14 55 17.14|-51 33 04.3|2012-01-22 02:33:33|706011010| 70308.80000|2016-08-04 12:47:34| 2013-06-26| 1.183 (SWIFTJ1454.9-5133)|
|IC 4518A            |14 57 40.56|-43 07 36.8|2012-02-02 04:08:09|706012010| 64398.60000|2016-08-04 13:39:45| 2013-05-22| 0.288 (SWIFTJ1457.8-4308)|
|2MASX J15115979-2119|15 11 59.93|-21 18 29.9|2012-02-22 01:19:24|706010010| 83816.20000|2016-08-04 17:14:45| 2013-03-10| 0.528 (SWIFTJ1512.0-2119)|
|IGR J16185-5928     |16 18 35.14|-59 24 00.4|2008-02-09 16:04:49|702123010| 76607.60000|2016-06-02 13:24:25| 2009-02-26| 3.286 (SWIFTJ1618.7-5930)|
|NEP                 |18 00 08.26|+66 34 26.4|2015-01-30 22:31:53|109016010|154011.40000|2016-08-17 13:37:16| 2014-04-01| 2.468 (SWIFTJ1800.3+6637)|
|NGC6552             |18 00 18.17|+66 36 13.0|2013-11-14 20:09:35|708014010|105776.70000|2016-08-13 09:22:37| 2014-12-28| 1.284 (SWIFTJ1800.3+6637)|
|NEP #1              |18 00 11.81|+66 33 34.9|2009-11-15 05:30:04|504070010| 56336.70000|2016-06-10 09:16:22| 2009-04-01| 3.355 (SWIFTJ1800.3+6637)|
|NEP #3              |18 00 11.59|+66 34 10.6|2009-12-15 22:22:13|504074010| 50176.90000|2016-06-10 21:29:02| 2009-04-01| 2.764 (SWIFTJ1800.3+6637)|
|NEP #4              |18 00 10.78|+66 34 43.7|2009-12-28 09:57:09|504076010| 49849.10000|2016-06-11 00:12:20| 2009-04-01| 2.206 (SWIFTJ1800.3+6637)|
|NEP #2              |18 00 12.50|+66 33 55.8|2009-12-07 12:02:11|504072010| 48697.70000|2016-06-10 17:32:19| 2009-04-01| 3.021 (SWIFTJ1800.3+6637)|
|NEP                 |18 00 08.57|+66 34 26.4|2015-02-03 06:00:15|109016020| 21676.40000|2016-08-17 13:43:04| 2014-04-01| 2.469 (SWIFTJ1800.3+6637)|
|IRAS18325-5926      |18 36 53.83|-59 27 23.4|2007-10-26 09:09:19|702118010| 78434.80000|2016-06-01 09:37:39| 2008-11-07| 3.300 (SWIFTJ1836.9-5924)|
|ESO 103- G 035      |18 38 22.58|-65 25 25.7|2008-10-22 15:11:45|703031010| 91442.00000|2016-06-05 08:00:53| 2009-11-13| 0.325 (SWIFTJ1838.4-6524)|
|FAIRALL 51          |18 44 53.71|-62 21 24.1|2013-09-04 01:45:58|708046010| 31557.60000|2016-08-12 11:54:51| 2014-10-26| 0.480 (SWIFTJ1844.5-6221)|
|FAIRALL 51          |18 44 54.26|-62 21 33.1|2013-09-05 19:22:39|708046020| 30958.00000|2016-08-12 12:48:00| 2014-10-26| 0.331 (SWIFTJ1844.5-6221)|
