id,nustar_obsid,suzaku_obsid
SWIFTJ1229.1+0202,10002020001,107013010
SWIFTJ1349.3-3018,60001045002,707025010
SWIFTJ1210.5+3924,60001111001,707024010
SWIFTJ1210.5+3924,60001111002,707024010
SWIFTJ1210.5+3924,60001111003,707024010
SWIFTJ1210.5+3924,60001111004,707024010
SWIFTJ1210.5+3924,60001111005,707024010
SWIFTJ1842.0+7945,60001082001,708034010
SWIFTJ1842.0+7945,60001082002,708034010
SWIFTJ1842.0+7945,60001082003,708034010
SWIFTJ0947.6-3057,60001046002,708021010
SWIFTJ0947.6-3057,60001046002,708021020
SWIFTJ0006.2+2012,60001041002,708016010
SWIFTJ0006.2+2012,60001041003,708016010
SWIFTJ0615.8+7101,60002048006,709022010
SWIFTJ0615.8+7101,60002048010,709022030
SWIFTJ1239.6-0519,60001149002,709014040
SWIFTJ1239.6-0519,60001149004,709014050
SWIFTJ1239.6-0519,60001149006,709014050
SWIFTJ0615.8+7101,60002048012,709022040
SWIFTJ0651.9+7426,60102044002,710001010
SWIFTJ2044.2-1045,60101043002,410017010
SWIFTJ0955.5+6907,60101049002,710017010
