SwiftName,name,ra,dec,time,stop_time,obsid,exposure,public_date,_Search_Offset
SWIFTJ0006.2+2012,MKN 335               ,00 06 18.31,+20 12 32.8,2013-06-14 23:30:11,2013-06-18 20:50:20,708016020,154816.8, 2013-04-01,"   0.468 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,MARKARIAN 335         ,00 06 12.94,+20 15 44.6,2006-06-21 01:29:56,2006-06-24 18:12:19,701031010,151288.4, 2007-10-28,"   3.888 (1.5814004,20.2029512)"
SWIFTJ0006.2+2012,MKN 335               ,00 06 18.41,+20 12 30.6,2013-06-11 03:35:16,2013-06-14 23:30:10,708016010,143995.0, 2013-04-01,"   0.425 (1.5814004,20.2029512)"
SWIFTJ0010.5+1057,III ZW 2              ,00 10 29.86,+10 59 02.0,2011-06-14 23:42:25,2011-06-16 23:30:09,706031010,81466.0, 2012-07-19,"   0.611 (2.6291746,10.9748617)"
SWIFTJ0042.9-2332,NGC 235A              ,00 42 52.22,-23 32 16.1,2013-12-10 02:12:44,2013-12-10 11:30:11,708026010,19825.1, 2013-04-01,"  0.237 (10.7200423,-23.541046)"
SWIFTJ0046.2-4008,ESP 39607             ,00 46 22.13,-40 05 48.5,2010-12-19 18:25:57,2010-12-21 07:37:19,705048010,60668.7, 2012-02-03,"  0.276 (11.5861961,-40.097039)"
SWIFTJ0048.8+3155,MRK 348               ,00 48 45.86,+31 57 49.0,2008-06-28 22:22:54,2008-07-01 01:25:08,703029010,87461.4, 2009-07-19,"  0.481 (12.1964231,31.9569703)"
SWIFTJ0051.9+1724,MKN 1148              ,00 51 55.32,+17 25 23.2,2013-12-30 06:51:12,2013-12-31 01:30:23,708033010,28318.9, 2013-04-01,"  0.604 (12.9781786,17.4329205)"
SWIFTJ0059.4+3150,MRK 352               ,00 59 59.78,+31 45 27.0,2010-01-06 11:19:27,2010-01-07 14:25:19,704025010,45671.7, 2011-02-10,"  4.394 (14.9720011,31.8270228)"
SWIFTJ0109.0+1320,3C 33                 ,01 08 58.68,+13 16 46.6,2007-12-26 07:16:13,2007-12-29 15:20:14,702059010,127367.7, 2009-01-23,"  3.740 (17.2203085,13.3373168)"
SWIFTJ0114.4-5522,NGC 454               ,01 14 02.64,-55 23 07.1,2009-04-29 05:30:01,2009-05-02 09:39:19,704009010,128956.2, 2010-05-26,"  3.244 (18.6039118,-55.397048)"
SWIFTJ0123.8-3504,NGC 526A              ,01 23 55.06,-35 04 22.4,2011-01-17 18:13:23,2011-01-19 15:22:11,705044010,72934.6, 2012-02-04,"  0.469 (20.9765475,-35.065445)"
SWIFTJ0123.9-5846,FAIRALL 9             ,01 23 23.52,-58 46 42.2,2010-05-19 03:00:49,2010-05-22 18:21:22,705063010,229296.3, 2010-04-01,"  3.318 (20.9407192,-58.805775)"
SWIFTJ0123.9-5846,FAIRALL 9             ,01 23 47.54,-58 48 50.8,2007-06-07 03:43:52,2007-06-09 13:50:24,702043010,167798.3, 2008-11-03,"  0.550 (20.9407192,-58.805775)"
SWIFTJ0127.5+1910,MRK 0359              ,01 27 33.43,+19 10 32.5,2007-02-06 23:29:43,2007-02-09 08:58:17,701082010,107507.0, 2008-09-26,"  0.286 (21.8854896,19.1788337)"
