cntr_01,dist_x,pang_x,ra_01,dec_01,reqkey,tn,object,ra,dec,irac8,irac8u,iras12,iras12u,irs16,irs16u,irs22,irs22u,mips24,mips24u,iras25,iras25u,mips24_irac8,mips24_irs16,irs16_irac8,iras25_iras12,ra_sl,dec_sl,pa_sl,ra_ll,dec_ll,pa_ll,date_obs,campname,bandpass,oflag,ratio_sl2_sl1,ratio_sl1_ll2,ratio_ll2_ll1,ra_rqst,dec_rqst,ra_del,dec_del,width_sl2,width_sl1,width_ll2,width_ll1,xtable,enhid,campid,obsrvr,progid,wave_min,wave_max
1,null,null,2.0323370000E-01,-7.1532227000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,null,null,4.4203480000E-01,-7.6953963000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,null,null,6.1010500000E-01,3.3519118000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,null,null,8.6424820000E-01,2.7654725300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,null,null,1.0082414000E+00,7.0321752200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.249108,137.724510,1.5814004000E+00,2.0202951200E+01,14448128,1,Mrk 335,1.58145,20.20290,1.249E-01,1.696E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.58145,20.20290,150.75392,null,null,null,2005-07-08 05:01:53,IRSX005200,IRS Merged 5.217-14.22um,3,0.946,null,null,1.58133,20.20292,0.00011,-0.00002,2.51,2.71,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX005200/r14448128/enhanced/SPITZER_S5_14448128_01_merge.tbl"">Table spectrum</a><br />",6431,792,"Lutz, Dieter",20241,5.21725,14.22932
7,null,null,2.2983352000E+00,-6.1522160000E-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,0.103652,10.609852,2.6291746000E+00,1.0974861700E+01,14188544,1,pg0007+106,2.62918,10.97489,null,null,null,null,null,null,1.490E-01,2.700E-03,1.482E-01,2.959E-03,1.525E-01,2.868E-03,null,null,null,null,null,null,null,2.62918,10.97489,-109.13401,2005-12-17 06:01:09,IRSX006000,IRS Merged 14.32-37.86um,12,null,null,0.991,2.62921,10.97486,-0.00003,0.00003,null,null,6.64,8.32,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006000/r14188544/enhanced/SPITZER_S5_14188544_01_merge.tbl"">Table spectrum</a><br />",6312,816,"Ogle, Patrick",20142,14.32338,37.86356
9,null,null,4.2854197000E+00,8.1585596000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,null,null,5.2814076000E+00,-1.9168191000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
