Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname      |public_date|data_in_heasarc|_Search_Offset             |
|0842761201|archived |Mrk 335             |00 06 19.52|+20 12 10.5|2021-06-20 05:34:44|   93900|Kara                |Erin          | 2022-07-09|Y              |  0.005 (SWIFTJ0006.2+2012)|
|0842761101|archived |Mrk 335             |00 06 19.52|+20 12 10.5|2021-06-18 05:40:24|   94000|Kara                |Erin          | 2022-07-09|Y              |  0.005 (SWIFTJ0006.2+2012)|
|0842761401|archived |Mrk 335             |00 06 19.52|+20 12 10.5|2021-06-14 06:03:03|   93900|Kara                |Erin          | 2022-07-09|Y              |  0.005 (SWIFTJ0006.2+2012)|
|0842761301|archived |Mrk 335             |00 06 19.52|+20 12 10.5|2021-06-22 05:42:46|   93000|Kara                |Erin          | 2022-07-09|Y              |  0.005 (SWIFTJ0006.2+2012)|
|0854590401|archived |Mrk 335             |00 06 19.52|+20 12 10.4|2019-12-27 15:02:48|  105900|SCHARTEL (PS)       |NORBERT       | 2020-07-06|Y              |  0.006 (SWIFTJ0006.2+2012)|
|0842760201|archived |Mrk 335             |00 06 19.52|+20 12 10.4|2021-06-16 05:52:43|   93900|Kara                |Erin          | 2022-07-09|Y              |  0.006 (SWIFTJ0006.2+2012)|
|0741280201|archived |Mrk 335             |00 06 19.58|+20 12 10.6|2015-12-30 09:03:53|  140399|Longinotti          |Anna Lia      | 2017-01-14|Y              |  0.009 (SWIFTJ0006.2+2012)|
|0780500301|archived |Mkn 335             |00 06 19.50|+20 12 10.6|2018-07-11 01:26:22|  114500|Schartel            |Norbert       | 2019-07-26|Y              |  0.009 (SWIFTJ0006.2+2012)|
|0831790601|archived |Mrk 335             |00 06 19.50|+20 12 10.5|2019-01-08 12:04:00|  117800|SCHARTEL (PS)       |NORBERT       | 2019-07-14|Y              |  0.010 (SWIFTJ0006.2+2012)|
|0510010701|archived |Mkn 335             |00 06 19.50|+20 12 11.0|2007-07-10 15:40:52|   22580|SCHARTEL (PS)       |NORBERT       | 2008-03-26|Y              |  0.011 (SWIFTJ0006.2+2012)|
|0306870101|archived |Mrk 335             |00 06 19.50|+20 12 10.0|2006-01-03 19:03:56|  133251|Nandra              |Kirpal        | 2007-01-19|Y              |  0.014 (SWIFTJ0006.2+2012)|
|0600540501|archived |Mkn 335             |00 06 19.20|+20 12 11.0|2009-06-13 07:07:48|   82615|Grupe               |Dirk          | 2010-06-29|Y              |  0.080 (SWIFTJ0006.2+2012)|
|0600540601|archived |Mkn 335             |00 06 19.20|+20 12 11.0|2009-06-11 07:16:06|  132315|Grupe               |Dirk          | 2010-06-29|Y              |  0.080 (SWIFTJ0006.2+2012)|
|0101040701|archived |Mrk 335             |00 06 19.60|+20 12 17.0|2000-12-25 13:20:20|   10911|Jansen XMM-Newton PS|Fred          | 2002-08-08|Y              |  0.107 (SWIFTJ0006.2+2012)|
|0101040101|archived |Mrk 335             |00 06 19.60|+20 12 17.0|2000-12-25 16:29:24|   36910|Jansen XMM-Newton PS|Fred          | 2002-08-08|Y              |  0.107 (SWIFTJ0006.2+2012)|
|0783270201|archived |PG 0026+129         |00 29 13.70|+13 16 04.0|2017-01-19 10:26:01|   13000|Kaspi               |Shai          | 2018-03-28|Y              |  0.001 (SWIFTJ0029.2+1319)|
|0601740101|archived |IGR J00333+6122     |00 33 18.41|+61 27 43.1|2010-01-15 05:17:51|   21913|Bassani             |Loredana      | 2011-02-11|Y              |  0.007 (SWIFTJ0033.6+6127)|
|0903040301|processed|UGC524              |00 51 35.02|+29 24 04.6|2022-07-26 14:09:04|   19000|Koss                |Michael       | 2023-08-22|N              |  0.001 (SWIFTJ0051.6+2928)|
|0801890301|archived |PG 0049+171         |00 51 54.76|+17 25 58.5|2018-01-14 17:54:37|   18000|Kaspi               |Shai          | 2019-01-30|Y              |  0.001 (SWIFTJ0051.9+1724)|
|0841480101|archived |PG0052+251          |00 54 52.12|+25 25 38.0|2019-07-15 17:15:07|   52600|Brusa               |Marcella      | 2020-08-13|Y              |  0.016 (SWIFTJ0054.9+2524)|
|0301450401|archived |PG 0052+251         |00 54 52.10|+25 25 38.0|2005-06-26 16:07:21|   20518|Matt                |Giorgio       | 2006-07-13|Y              |  0.017 (SWIFTJ0054.9+2524)|
|0312190101|archived |Mkn 352 SWIFT       |00 59 53.28|+31 49 36.8|2006-01-24 02:09:28|   13047|Schartel (DDT)      |Norbert       | 2007-02-14|Y              |  0.008 (SWIFTJ0059.4+3150)|
|0903040101|processed|Mrk 975             |01 13 51.03|+13 16 18.2|2022-07-26 07:59:16|   20000|Koss                |Michael       | 2023-08-22|N              |  0.003 (SWIFTJ0113.8+1313)|
|0110950201|archived |TON S210            |01 21 51.00|-28 20 57.0|2003-01-07 00:44:13|    9233|Watson              |Michael       | 2004-02-04|Y              |  0.114 (SWIFTJ0122.0-2818)|
|0150940101|archived |NGC 526A            |01 23 54.39|-35 03 55.7|2003-06-21 22:58:28|   47918|George              |Ian           | 2004-08-23|Y              |  0.003 (SWIFTJ0123.8-3504)|
|0721730301|archived |NGC 526a            |01 23 54.40|-35 03 56.0|2013-12-21 11:06:11|   56400|Markowitz           |Alex          | 2015-01-19|Y              |  0.006 (SWIFTJ0123.8-3504)|
|0721730401|archived |NGC 526a            |01 23 54.40|-35 03 56.0|2013-12-22 15:03:16|   46100|Markowitz           |Alex          | 2015-01-19|Y              |  0.006 (SWIFTJ0123.8-3504)|
|0109130201|archived |NGC 526A            |01 23 54.20|-35 03 56.0|2002-06-30 09:05:02|   11968|Mason               |Keith         | 2003-08-23|Y              |  0.037 (SWIFTJ0123.8-3504)|
|0741330101|archived |Fairall 9           |01 23 45.78|-58 48 20.8|2014-05-09 02:20:09|  141400|Lohfink             |Anne          | 2015-09-21|Y              |  0.002 (SWIFTJ0123.9-5846)|
|0605800401|archived |FAIRALL 9           |01 23 45.80|-58 48 21.3|2009-12-09 19:56:35|  130052|McHardy             |Ian           | 2011-01-12|Y              |  0.010 (SWIFTJ0123.9-5846)|
|0721110101|archived |Fairall 9           |01 23 45.80|-58 48 20.0|2013-12-19 06:20:42|   73000|Reynolds            |Christopher   | 2015-01-19|Y              |  0.015 (SWIFTJ0123.9-5846)|
|0721110201|archived |Fairall 9           |01 23 45.80|-58 48 20.0|2014-01-02 12:25:22|   51200|Reynolds            |Christopher   | 2015-01-19|Y              |  0.015 (SWIFTJ0123.9-5846)|
|0101040201|archived |Fairall 9           |01 23 46.00|-58 48 21.0|2000-07-05 22:14:05|   33006|Jansen XMM-Newton PS|Fred          | 2002-04-27|Y              |  0.031 (SWIFTJ0123.9-5846)|
|0830550801|archived |Mrk 359             |01 27 32.55|+19 10 43.7|2019-01-25 03:06:39|   59999|petrucci            |pierre-olivier| 2020-02-27|Y              |  0.007 (SWIFTJ0127.5+1910)|
|0830551201|archived |Mrk 359             |01 27 32.55|+19 10 43.7|2019-02-02 01:56:47|   61200|petrucci            |pierre-olivier| 2020-02-27|Y              |  0.007 (SWIFTJ0127.5+1910)|
|0830550901|archived |Mrk 359             |01 27 32.55|+19 10 43.7|2019-01-26 13:23:49|   55799|petrucci            |pierre-olivier| 2020-02-27|Y              |  0.007 (SWIFTJ0127.5+1910)|
|0830551001|archived |Mrk 359             |01 27 32.55|+19 10 43.7|2019-01-28 22:30:04|   53000|petrucci            |pierre-olivier| 2020-02-27|Y              |  0.007 (SWIFTJ0127.5+1910)|
|0830551101|archived |Mrk 359             |01 27 32.55|+19 10 43.7|2019-01-31 01:55:42|   62700|petrucci            |pierre-olivier| 2020-02-27|Y              |  0.007 (SWIFTJ0127.5+1910)|
|0112600601|archived |Mrk 359             |01 27 32.00|+19 10 39.0|2000-07-09 02:18:19|   27208|Turner              |Martin        | 2002-05-04|Y              |  0.147 (SWIFTJ0127.5+1910)|
|0655590501|archived |Mrk 359 pointing4   |01 27 33.57|+19 10 50.1|2010-07-29 22:00:06|   64031|Detmers             |Rob           | 2011-08-16|Y              |  0.269 (SWIFTJ0127.5+1910)|
|0655590201|archived |Mrk 359 pointing1   |01 27 30.66|+19 10 31.8|2010-07-25 02:24:12|   84317|Detmers             |Rob           | 2011-08-16|Y              |  0.483 (SWIFTJ0127.5+1910)|
|0880080101|processed|RX J0128.1-1848     |01 28 06.72|-18 48 31.1|2023-01-07 06:10:49|   86500|Schartel            |Norbert       | 2024-02-06|N              |  0.000 (SWIFTJ0128.0-1850)|
|0880080301|processed|RX J0128.1-1848     |01 28 06.72|-18 48 31.1|2023-01-07 05:12:49|    3480|Schartel            |Norbert       | 2024-02-06|N              |  0.000 (SWIFTJ0128.0-1850)|
|0864350101|archived |Mrk 1018            |02 06 16.00|-00 17 29.0|2021-02-04 04:05:13|   65000|Krumpe              |Mirko         | 2022-02-15|Y              |  0.004 (SWIFTJ0206.2-0019)|
|0821240301|archived |Mrk 1018            |02 06 16.00|-00 17 29.0|2019-01-04 15:19:45|   67700|Krumpe              |Mirko         | 2020-02-12|Y              |  0.004 (SWIFTJ0206.2-0019)|
|0821240201|archived |Mrk 1018            |02 06 16.00|-00 17 29.0|2018-07-23 11:24:28|   74800|Krumpe              |Mirko         | 2020-02-12|Y              |  0.004 (SWIFTJ0206.2-0019)|
|0554920301|archived |Mrk 1018            |02 06 16.00|-00 17 29.0|2008-08-07 02:28:50|   17621|Corral              |Amalia        | 2009-09-01|Y              |  0.005 (SWIFTJ0206.2-0019)|
|0201090201|archived |MKN 1018            |02 06 16.00|-00 17 29.0|2005-01-15 18:17:05|   11920|BARCONS             |XAVIER        | 2006-06-14|Y              |  0.005 (SWIFTJ0206.2-0019)|
|0205390201|archived |QSO0204+292         |02 07 02.20|+29 30 46.0|2004-07-30 21:06:19|   82213|O'BRIEN             |PAUL          | 2005-10-21|Y              |  0.001 (SWIFTJ0207.0+2931)|
|0201020201|archived |MKN 590             |02 14 33.56|-00 46 00.1|2004-07-04 07:02:40|  112674|Santos-Lleo         |Maria         | 2005-08-09|Y              |  0.001 (SWIFTJ0214.6-0049)|
|0865470201|archived |Mrk 590             |02 14 33.56|-00 46 00.1|2020-07-04 13:23:11|   27000|Miniutti            |Giovanni      | 2022-01-26|Y              |  0.002 (SWIFTJ0214.6-0049)|
|0870840201|processed|Mrk 590             |02 14 33.56|-00 46 00.1|2022-01-24 01:50:25|   25800|Vestergaard         |Marianne      | 2024-03-01|N              |  0.002 (SWIFTJ0214.6-0049)|
|0865470301|archived |Mrk 590             |02 14 33.56|-00 46 00.1|2021-01-03 10:38:32|   27000|Miniutti            |Giovanni      | 2022-01-26|Y              |  0.002 (SWIFTJ0214.6-0049)|
|0912400101|processed|Mrk 590             |02 14 33.58|-00 46 00.2|2022-07-28 09:26:28|   27000|Lawther             |Daniel        | 2999-01-01|N              |  0.005 (SWIFTJ0214.6-0049)|
|0109130301|archived |MRK590              |02 14 33.50|-00 46 00.0|2002-01-01 11:52:48|   11349|Mason               |Keith         | 2003-01-29|Y              |  0.015 (SWIFTJ0214.6-0049)|
|0870840501|processed|Mrk 590             |02 14 33.68|-00 46 00.3|2023-02-06 01:14:32|    9950|Vestergaard         |Marianne      | 2024-03-01|N              |  0.029 (SWIFTJ0214.6-0049)|
|0870840401|processed|Mrk 590             |02 14 33.68|-00 46 00.3|2021-08-13 01:29:57|    7198|Vestergaard         |Marianne      | 2024-03-01|N              |  0.029 (SWIFTJ0214.6-0049)|
