id,nustar_obsid,xmm_obsid
SWIFTJ1229.1+0202,10002020001,0414191001
SWIFTJ0333.6-3607,60002046002,0692840201
SWIFTJ0333.6-3607,60002046003,0692840201
SWIFTJ2127.4+5654,60001110002,0693781701
SWIFTJ2127.4+5654,60001110003,0693781701
SWIFTJ2127.4+5654,60001110005,0693781801
SWIFTJ2127.4+5654,60001110007,0693781901
SWIFTJ1210.5+3924,60001111005,0679780301
SWIFTJ0333.6-3607,60002046005,0692840601
SWIFTJ0333.6-3607,60002046005,0692840301
SWIFTJ0333.6-3607,60002046007,0692840701
SWIFTJ0333.6-3607,60002046007,0692840401
SWIFTJ1335.8-3416,60001047002,0693782001
SWIFTJ1335.8-3416,60001047002,0693781201
SWIFTJ1335.8-3416,60001047003,0693781201
SWIFTJ1335.8-3416,60001047003,0693782101
SWIFTJ1335.8-3416,60001047003,0693781301
SWIFTJ1335.8-3416,60001047005,0693782201
SWIFTJ1335.8-3416,60001047005,0693781401
SWIFTJ1412.9-6522,30002038004,0701981001
SWIFTJ0433.0+0521,60001042002,0693781601
SWIFTJ0433.0+0521,60001042003,0693781601
SWIFTJ0433.0+0521,60001042003,0693782401
SWIFTJ0333.6-3607,60002046009,0692840501
SWIFTJ0516.2-0009,60001044002,0693781501
SWIFTJ1417.9+2507,60002044002,0720110601
SWIFTJ1417.9+2507,60002044003,0720110601
SWIFTJ1417.9+2507,60002044005,0720111001
SWIFTJ1325.4-4301,60001081002,0724060601
SWIFTJ0234.6-0848,60061025002,0690870501
SWIFTJ0521.0-2522,60002027004,0722610101
SWIFTJ0521.0-2522,60002027005,0722610101
SWIFTJ1417.9+2507,60002044008,0720111501
SWIFTJ0516.2-0009,60001044004,0721600401
SWIFTJ0123.9-5846,60001130002,0741330101
SWIFTJ0123.9-5846,60001130003,0741330101
SWIFTJ1139.0-2323,80002031002,0741260101
SWIFTJ1139.0-2323,80002031003,0741260101
SWIFTJ0242.6+0000,60002033002,0740060401
SWIFTJ1158.9+4234,60001148002,0744040301
SWIFTJ1158.9+4234,60001148004,0744040401
SWIFTJ2236.7-1233,60002060002,0744490401
SWIFTJ2236.7-1233,60002060004,0744490501
SWIFTJ2236.7-1233,60002060006,0744490601
SWIFTJ1239.6-0519,60001149002,0740920201
SWIFTJ1239.6-0519,60001149004,0740920301
SWIFTJ1239.6-0519,60001149006,0740920401
SWIFTJ1239.6-0519,60001149008,0740920501
SWIFTJ1239.6-0519,60001149010,0740920601
SWIFTJ0615.8+7101,60002049002,0741050101
SWIFTJ0615.8+7101,60002049006,0741050201
